# Jupiter Spectrum
# source: Compiled telescope observations
# description: Jupiter reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Jupiter
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Voyager 1/2, Galileo, Cassini, Juno
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,1.050415e-02
301.000,1.066831e-02
302.001,1.089542e-02
303.001,1.094611e-02
304.002,1.099516e-02
305.002,1.128071e-02
306.003,1.156455e-02
307.003,1.157435e-02
308.004,1.165131e-02
309.004,1.149995e-02
310.005,1.182387e-02
311.005,1.194698e-02
312.005,1.194583e-02
313.006,1.204197e-02
314.006,1.216921e-02
315.007,1.198905e-02
316.007,1.247308e-02
317.008,1.262575e-02
318.008,1.256799e-02
319.009,1.294707e-02
320.009,1.262081e-02
321.010,1.288180e-02
322.010,1.312950e-02
323.010,1.311833e-02
324.011,1.332262e-02
325.011,1.351350e-02
326.012,1.367518e-02
327.012,1.377985e-02
328.013,1.380678e-02
329.013,1.410467e-02
330.014,1.386409e-02
331.014,1.404654e-02
332.015,1.413701e-02
333.015,1.426841e-02
334.015,1.445355e-02
335.016,1.473166e-02
336.016,1.444953e-02
337.017,1.452542e-02
338.017,1.491794e-02
339.018,1.483562e-02
340.018,1.541534e-02
341.019,1.494219e-02
342.019,1.528070e-02
343.020,1.525247e-02
344.020,1.523061e-02
345.020,1.541879e-02
346.021,1.550566e-02
347.021,1.605057e-02
348.022,1.600710e-02
349.022,1.586796e-02
350.023,1.583696e-02
351.023,1.600108e-02
352.024,1.626313e-02
353.024,1.638008e-02
354.025,1.640013e-02
355.025,1.646254e-02
356.025,1.651424e-02
357.026,1.669827e-02
358.026,1.681234e-02
359.027,1.673975e-02
360.027,1.690749e-02
361.028,1.705116e-02
362.028,1.744170e-02
363.029,1.724037e-02
364.029,1.714687e-02
365.030,1.753064e-02
366.030,1.751458e-02
367.030,1.758625e-02
368.031,1.784681e-02
369.031,1.806127e-02
370.032,1.815684e-02
371.032,1.796846e-02
372.033,1.772942e-02
373.033,1.825307e-02
374.034,1.809431e-02
375.034,1.830012e-02
376.035,1.834814e-02
377.035,1.830302e-02
378.035,1.835526e-02
379.036,1.867131e-02
380.036,1.866484e-02
381.037,1.880508e-02
382.037,1.879688e-02
383.038,1.898224e-02
384.038,1.884034e-02
385.039,1.879169e-02
386.039,1.878887e-02
387.040,1.929673e-02
388.040,1.939060e-02
389.040,1.909463e-02
390.041,1.918071e-02
391.041,1.949593e-02
392.042,1.949613e-02
393.042,1.989000e-02
394.043,1.955648e-02
395.043,1.989445e-02
396.044,1.935868e-02
397.044,1.944683e-02
398.045,1.934535e-02
399.045,1.991383e-02
400.045,2.000769e-02
401.046,1.995826e-02
402.046,2.002093e-02
403.047,2.002781e-02
404.047,2.038356e-02
405.048,2.052791e-02
406.048,2.062423e-02
407.049,2.015698e-02
408.049,2.020536e-02
409.050,2.064534e-02
410.050,2.004914e-02
411.050,2.047712e-02
412.051,2.037704e-02
413.051,2.078444e-02
414.052,2.075345e-02
415.052,2.123838e-02
416.053,2.096448e-02
417.053,2.123697e-02
418.054,2.077370e-02
419.054,2.100879e-02
420.055,2.135325e-02
421.055,2.111960e-02
422.055,2.140093e-02
423.056,2.134911e-02
424.056,2.136071e-02
425.057,2.127957e-02
426.057,2.147887e-02
427.058,2.141619e-02
428.058,2.135226e-02
429.059,2.126603e-02
430.059,2.197595e-02
431.060,2.144295e-02
432.060,2.187921e-02
433.060,2.160529e-02
434.061,2.157137e-02
435.061,2.206958e-02
436.062,2.184813e-02
437.062,2.167971e-02
438.063,2.209733e-02
439.063,2.222176e-02
440.064,2.167868e-02
441.064,2.174401e-02
442.065,2.204835e-02
443.065,2.218832e-02
444.065,2.221336e-02
445.066,2.198189e-02
446.066,2.201290e-02
447.067,2.194022e-02
448.067,2.272458e-02
449.068,2.205518e-02
450.068,2.244360e-02
451.069,2.221228e-02
452.069,2.284644e-02
453.070,2.239276e-02
