# Mars Spectrum
# source: Compiled telescope observations
# description: Mars reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Mars
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Mars Express, MRO, Viking
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,3.307038e-03
301.000,3.389664e-03
302.001,3.341490e-03
303.001,3.421268e-03
304.002,3.485119e-03
305.002,3.441804e-03
306.003,3.522460e-03
307.003,3.572456e-03
308.004,3.644998e-03
309.004,3.631051e-03
310.005,3.697110e-03
311.005,3.641452e-03
312.005,3.677347e-03
313.006,3.772580e-03
314.006,3.820453e-03
315.007,3.819627e-03
316.007,3.789178e-03
317.008,3.846174e-03
318.008,3.920968e-03
319.009,3.967986e-03
320.009,3.965689e-03
321.010,4.010496e-03
322.010,4.083232e-03
323.010,4.148189e-03
324.011,4.175878e-03
325.011,4.136143e-03
326.012,4.206966e-03
327.012,4.281819e-03
328.013,4.268531e-03
329.013,4.421883e-03
330.014,4.326133e-03
331.014,4.367712e-03
332.015,4.455843e-03
333.015,4.445235e-03
334.015,4.496333e-03
335.016,4.480484e-03
336.016,4.594465e-03
337.017,4.559349e-03
338.017,4.613732e-03
339.018,4.662174e-03
340.018,4.615949e-03
341.019,4.712132e-03
342.019,4.805317e-03
343.020,4.760070e-03
344.020,4.797567e-03
345.020,4.898788e-03
346.021,4.851518e-03
347.021,4.873436e-03
348.022,4.976864e-03
349.022,4.969390e-03
350.023,5.035493e-03
351.023,4.996746e-03
352.024,5.013655e-03
353.024,5.022414e-03
354.025,5.152344e-03
355.025,5.199640e-03
356.025,5.187238e-03
357.026,5.142714e-03
358.026,5.151684e-03
359.027,5.230589e-03
360.027,5.330811e-03
361.028,5.340236e-03
362.028,5.411464e-03
363.029,5.429411e-03
364.029,5.344430e-03
365.030,5.382666e-03
366.030,5.467914e-03
367.030,5.484492e-03
368.031,5.582905e-03
369.031,5.613930e-03
370.032,5.530000e-03
371.032,5.600335e-03
372.033,5.629446e-03
373.033,5.703059e-03
374.034,5.679934e-03
375.034,5.774910e-03
376.035,5.744443e-03
377.035,5.742157e-03
378.035,5.784580e-03
379.036,5.812717e-03
380.036,5.778013e-03
381.037,5.796254e-03
382.037,5.759005e-03
383.038,5.931511e-03
384.038,5.936902e-03
385.039,6.022731e-03
386.039,6.011496e-03
387.040,5.992453e-03
388.040,5.972636e-03
389.040,6.151653e-03
390.041,6.017664e-03
391.041,6.133216e-03
392.042,6.085910e-03
393.042,6.017564e-03
394.043,6.128035e-03
395.043,6.208971e-03
396.044,6.131030e-03
397.044,6.198726e-03
398.045,6.163370e-03
399.045,6.274899e-03
400.045,6.248520e-03
401.046,6.342246e-03
402.046,6.261873e-03
403.047,6.280592e-03
404.047,6.321337e-03
405.048,6.429476e-03
406.048,6.395628e-03
407.049,6.376123e-03
408.049,6.459827e-03
409.050,6.481210e-03
410.050,6.515440e-03
411.050,6.525968e-03
412.051,6.484359e-03
413.051,6.451246e-03
414.052,6.392676e-03
415.052,6.458792e-03
416.053,6.506928e-03
417.053,6.608933e-03
418.054,6.493275e-03
419.054,6.627617e-03
420.055,6.663422e-03
421.055,6.662814e-03
422.055,6.584065e-03
423.056,6.649821e-03
424.056,6.678734e-03
425.057,6.648503e-03
426.057,6.516998e-03
427.058,6.726146e-03
428.058,6.716966e-03
429.059,6.783784e-03
430.059,6.694738e-03
431.060,6.822092e-03
432.060,6.782389e-03
433.060,6.770326e-03
434.061,6.839889e-03
435.061,6.750148e-03
436.062,6.755981e-03
437.062,6.710956e-03
438.063,6.788078e-03
439.063,6.800655e-03
440.064,6.778202e-03
441.064,6.931322e-03
442.065,6.853982e-03
443.065,6.845804e-03
444.065,6.901246e-03
445.066,6.843473e-03
446.066,6.853065e-03
447.067,6.918916e-03
448.067,6.870044e-03
449.068,7.079465e-03
450.068,6.882575e-03
451.069,6.916150e-03
452.069,7.021837e-03
453.070,6.941506e-03
454.070,7.131793e-03
455.070,7.102980e-03
456.071,6.955238e-03
457.071,6.973521e-03
458.072,6.978350e-03
459.072,7.018098e-03
460.073,7.027614e-03
461.073,7.144662e-03
462.074,7.153999e-03
463.074,7.026504e-03
464.075,7.052506e-03
465.075,7.027261e-03
466.075,7.075547e-03
467.076,7.164141e-03
468.076,6.969118e-03
469.077,7.106522e-03
470.077,7.022139e-03
471.078,7.089711e-03
472.078,7.137507e-03
473.079,7.095169e-03
474.079,7.084548e-03
475.080,7.067903e-03
476.080,7.148408e-03
477.080,7.232683e-03
478.081,7.266043e-03
