# Mercury Spectrum
# source: Compiled telescope observations
# description: Mercury reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Mercury
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: MESSENGER, Mariner 10
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,1.633599e-03
301.000,1.658609e-03
302.001,1.648721e-03
303.001,1.685271e-03
304.002,1.674673e-03
305.002,1.694710e-03
306.003,1.744454e-03
307.003,1.785009e-03
308.004,1.794038e-03
309.004,1.798335e-03
310.005,1.810838e-03
311.005,1.860265e-03
312.005,1.867983e-03
313.006,1.860418e-03
314.006,1.908670e-03
315.007,1.895218e-03
316.007,1.939646e-03
317.008,1.917577e-03
318.008,1.950722e-03
319.009,1.991071e-03
320.009,2.005046e-03
321.010,2.015959e-03
322.010,2.015558e-03
323.010,2.075172e-03
324.011,2.034830e-03
325.011,2.116894e-03
326.012,2.134662e-03
327.012,2.139078e-03
328.013,2.144452e-03
329.013,2.158963e-03
330.014,2.161347e-03
331.014,2.251472e-03
332.015,2.230085e-03
333.015,2.233786e-03
334.015,2.210437e-03
335.016,2.271909e-03
336.016,2.295687e-03
337.017,2.337610e-03
338.017,2.328470e-03
339.018,2.321118e-03
340.018,2.373149e-03
341.019,2.396322e-03
342.019,2.372127e-03
343.020,2.382802e-03
344.020,2.412654e-03
345.020,2.401262e-03
346.021,2.502167e-03
347.021,2.483032e-03
348.022,2.489185e-03
349.022,2.515319e-03
350.023,2.528297e-03
351.023,2.557148e-03
352.024,2.555373e-03
353.024,2.517860e-03
354.025,2.533736e-03
355.025,2.592055e-03
356.025,2.605628e-03
357.026,2.653669e-03
358.026,2.697239e-03
359.027,2.646733e-03
360.027,2.686566e-03
361.028,2.625963e-03
362.028,2.728306e-03
363.029,2.746500e-03
364.029,2.729012e-03
365.030,2.770926e-03
366.030,2.802915e-03
367.030,2.783684e-03
368.031,2.783066e-03
369.031,2.833921e-03
370.032,2.832732e-03
371.032,2.864813e-03
372.033,2.834461e-03
373.033,2.854524e-03
374.034,2.836849e-03
375.034,2.886946e-03
376.035,2.835500e-03
377.035,2.919600e-03
378.035,2.944878e-03
379.036,3.012252e-03
380.036,2.974953e-03
381.037,2.992453e-03
382.037,3.026539e-03
383.038,2.996527e-03
384.038,3.080488e-03
385.039,3.034729e-03
386.039,3.043813e-03
387.040,3.100558e-03
388.040,3.110644e-03
389.040,3.074642e-03
390.041,3.132054e-03
391.041,3.111334e-03
392.042,3.102699e-03
393.042,3.130188e-03
394.043,3.176070e-03
395.043,3.205194e-03
396.044,3.160704e-03
397.044,3.234510e-03
398.045,3.192097e-03
399.045,3.257807e-03
400.045,3.212745e-03
401.046,3.272128e-03
402.046,3.200133e-03
403.047,3.236004e-03
404.047,3.279878e-03
405.048,3.288824e-03
406.048,3.286487e-03
407.049,3.254422e-03
408.049,3.295207e-03
409.050,3.336209e-03
410.050,3.327508e-03
411.050,3.293064e-03
412.051,3.352423e-03
413.051,3.334165e-03
414.052,3.360550e-03
415.052,3.388349e-03
416.053,3.421443e-03
