# Neptune Spectrum
# source: Compiled telescope observations
# description: Neptune reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Neptune
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Voyager 2, HST, Keck
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,1.191271e-02
301.000,1.224714e-02
302.001,1.220125e-02
303.001,1.249343e-02
304.002,1.241112e-02
305.002,1.245954e-02
306.003,1.269154e-02
307.003,1.277468e-02
308.004,1.289860e-02
309.004,1.298176e-02
310.005,1.313975e-02
311.005,1.354920e-02
312.005,1.336899e-02
313.006,1.359025e-02
314.006,1.372206e-02
315.007,1.376318e-02
316.007,1.406467e-02
317.008,1.409027e-02
318.008,1.399685e-02
319.009,1.427185e-02
320.009,1.458627e-02
321.010,1.483154e-02
322.010,1.470850e-02
323.010,1.491676e-02
324.011,1.483478e-02
325.011,1.524606e-02
326.012,1.540428e-02
327.012,1.530592e-02
328.013,1.545810e-02
329.013,1.535323e-02
330.014,1.574592e-02
331.014,1.572712e-02
332.015,1.602971e-02
333.015,1.612308e-02
334.015,1.638988e-02
335.016,1.603775e-02
336.016,1.639255e-02
337.017,1.646111e-02
338.017,1.639536e-02
339.018,1.675202e-02
340.018,1.687049e-02
341.019,1.711613e-02
342.019,1.719071e-02
343.020,1.696702e-02
344.020,1.735363e-02
345.020,1.740163e-02
346.021,1.768925e-02
347.021,1.775063e-02
348.022,1.761035e-02
349.022,1.766870e-02
350.023,1.800002e-02
351.023,1.811247e-02
352.024,1.822503e-02
353.024,1.806431e-02
354.025,1.832820e-02
355.025,1.890323e-02
356.025,1.877149e-02
357.026,1.872635e-02
358.026,1.886373e-02
359.027,1.935358e-02
360.027,1.915503e-02
361.028,1.927084e-02
362.028,1.942453e-02
363.029,1.923090e-02
364.029,1.951611e-02
365.030,1.954407e-02
366.030,1.992562e-02
367.030,2.002783e-02
368.031,2.004798e-02
369.031,1.978960e-02
370.032,2.000978e-02
371.032,1.996934e-02
372.033,2.022528e-02
373.033,2.016364e-02
374.034,2.030493e-02
375.034,2.054537e-02
376.035,2.057167e-02
377.035,2.086201e-02
378.035,2.092644e-02
379.036,2.089237e-02
380.036,2.109583e-02
381.037,2.130517e-02
382.037,2.149993e-02
383.038,2.133084e-02
384.038,2.119678e-02
385.039,2.137323e-02
386.039,2.179485e-02
387.040,2.141982e-02
388.040,2.172767e-02
389.040,2.138559e-02
390.041,2.192319e-02
391.041,2.186686e-02
392.042,2.198758e-02
393.042,2.183885e-02
394.043,2.239824e-02
395.043,2.216350e-02
396.044,2.250730e-02
397.044,2.191489e-02
398.045,2.251061e-02
399.045,2.258158e-02
400.045,2.268222e-02
401.046,2.263012e-02
402.046,2.250445e-02
403.047,2.288035e-02
404.047,2.250359e-02
405.048,2.318318e-02
406.048,2.303141e-02
407.049,2.306458e-02
408.049,2.311607e-02
409.050,2.291389e-02
410.050,2.306578e-02
411.050,2.343538e-02
412.051,2.364152e-02
413.051,2.329533e-02
414.052,2.360417e-02
415.052,2.355701e-02
416.053,2.341678e-02
417.053,2.344294e-02
418.054,2.352049e-02
419.054,2.369417e-02
420.055,2.379860e-02
421.055,2.414517e-02
422.055,2.371176e-02
423.056,2.384757e-02
424.056,2.379294e-02
425.057,2.361627e-02
426.057,2.426606e-02
427.058,2.406885e-02
428.058,2.439412e-02
429.059,2.401631e-02
430.059,2.392073e-02
431.060,2.450306e-02
432.060,2.456350e-02
433.060,2.451752e-02
434.061,2.502376e-02
435.061,2.426481e-02
436.062,2.408173e-02
437.062,2.450925e-02
438.063,2.496220e-02
439.063,2.445842e-02
440.064,2.478108e-02
441.064,2.489809e-02
442.065,2.455880e-02
443.065,2.477872e-02
444.065,2.534229e-02
445.066,2.524722e-02
446.066,2.477318e-02
447.067,2.540661e-02
448.067,2.517073e-02
449.068,2.529180e-02
450.068,2.520071e-02
451.069,2.482986e-02
452.069,2.501570e-02
453.070,2.518887e-02
454.070,2.533738e-02
455.070,2.450613e-02
456.071,2.477023e-02
457.071,2.522790e-02
458.072,2.512971e-02
459.072,2.549498e-02
460.073,2.579328e-02
461.073,2.509019e-02
462.074,2.506156e-02
463.074,2.585400e-02
464.075,2.568192e-02
465.075,2.573902e-02
466.075,2.535636e-02
467.076,2.522744e-02
468.076,2.529307e-02
469.077,2.526594e-02
470.077,2.529406e-02
471.078,2.569862e-02
472.078,2.560967e-02
473.079,2.552922e-02
474.079,2.558163e-02
475.080,2.552448e-02
476.080,2.545040e-02
477.080,2.603479e-02
478.081,2.559026e-02
