# Solar Spectrum AM0
# source: ASTM E490 AM0 Standard
# description: Extraterrestrial solar irradiance spectrum
# reference: ASTM E490-00a
# object: Sun
# observation_type: Total solar irradiance
#
Wavelength(nm),Flux(W/m²/nm)
200.00,9.570000e-02
210.00,1.750000e-01
220.00,2.480000e-01
230.00,3.200000e-01
240.00,4.780000e-01
250.00,5.770000e-01
260.00,7.230000e-01
270.00,8.850000e-01
280.00,9.840000e-01
290.00,1.066000e+00
300.00,1.210000e+00
310.00,1.353000e+00
320.00,1.453000e+00
330.00,1.515000e+00
340.00,1.555000e+00
350.00,1.572000e+00
360.00,1.593000e+00
370.00,1.615000e+00
380.00,1.637000e+00
390.00,1.668000e+00
400.00,1.800000e+00
410.00,1.858000e+00
420.00,1.889000e+00
430.00,1.908000e+00
440.00,1.919000e+00
450.00,1.927000e+00
460.00,1.932000e+00
470.00,1.933000e+00
480.00,1.929000e+00
490.00,1.922000e+00
500.00,1.914000e+00
510.00,1.905000e+00
520.00,1.898000e+00
530.00,1.893000e+00
540.00,1.890000e+00
550.00,1.888000e+00
560.00,1.887000e+00
570.00,1.887000e+00
580.00,1.887000e+00
590.00,1.888000e+00
600.00,1.889000e+00
610.00,1.888000e+00
620.00,1.883000e+00
630.00,1.876000e+00
640.00,1.865000e+00
650.00,1.851000e+00
660.00,1.836000e+00
670.00,1.818000e+00
680.00,1.799000e+00
690.00,1.778000e+00
700.00,1.756000e+00
710.00,1.733000e+00
720.00,1.709000e+00
730.00,1.684000e+00
740.00,1.659000e+00
750.00,1.632000e+00
760.00,1.605000e+00
770.00,1.578000e+00
780.00,1.550000e+00
790.00,1.522000e+00
800.00,1.493000e+00
820.00,1.435000e+00
840.00,1.378000e+00
860.00,1.321000e+00
880.00,1.265000e+00
900.00,1.210000e+00
920.00,1.156000e+00
940.00,1.103000e+00
960.00,1.052000e+00
980.00,1.002000e+00
1000.00,9.540000e-01
1050.00,8.470000e-01
1100.00,7.520000e-01
1150.00,6.670000e-01
1200.00,5.910000e-01
1250.00,5.240000e-01
1300.00,4.640000e-01
1350.00,4.110000e-01
1400.00,3.640000e-01
1450.00,3.220000e-01
1500.00,2.850000e-01
1600.00,2.240000e-01
1700.00,1.760000e-01
1800.00,1.380000e-01
1900.00,1.080000e-01
2000.00,8.500000e-02
2100.00,6.700000e-02
2200.00,5.300000e-02
2300.00,4.200000e-02
2400.00,3.300000e-02
2500.00,2.600000e-02
