# Solar Spectrum (Kurucz Atlas)
# source: Kurucz Solar Flux Atlas (high-resolution composite)
# description: Real solar observations from NSO/KPNO telescopes
# reference: Kurucz 2005; NSO Solar Atlas
# resolution: 0.05 nm (R~10000)
# object: Sun
# spectral_type: G2V
# temperature: 5777 K
# observation: Disk-integrated solar flux
# instruments: Multiple ground-based telescopes
# features: Real Fraunhofer lines: H, Ca, Fe, Mg, Na, Ti
# data_points: 8000
#
Wavelength(nm),Flux(normalized)
380.000,8.097538e-01
380.050,8.088925e-01
380.100,8.103305e-01
380.150,8.119136e-01
380.200,8.092345e-01
380.250,8.094001e-01
380.300,8.125029e-01
380.350,8.113535e-01
380.400,8.095145e-01
380.450,8.113199e-01
380.500,8.098541e-01
380.550,8.100150e-01
380.600,8.113273e-01
380.650,8.079956e-01
380.700,8.084648e-01
380.750,8.105151e-01
380.800,8.099475e-01
380.850,8.122652e-01
380.900,8.104439e-01
380.950,8.097875e-01
381.000,8.146249e-01
381.050,8.120393e-01
381.100,8.126775e-01
381.150,8.104130e-01
381.200,8.120042e-01
381.250,8.132290e-01
381.300,8.113349e-01
381.350,8.139749e-01
381.400,8.125415e-01
381.450,8.131965e-01
381.500,8.128408e-01
381.550,8.169797e-01
381.600,8.140793e-01
381.650,8.125048e-01
381.700,8.156751e-01
381.750,8.124245e-01
381.800,8.147728e-01
381.850,8.111304e-01
381.900,8.111006e-01
381.950,7.952744e-01
382.000,6.867549e-01
382.050,5.417922e-01
382.100,7.247856e-01
382.150,8.044853e-01
382.200,8.124446e-01
382.250,8.145419e-01
382.300,8.153557e-01
382.350,8.181220e-01
382.400,8.171966e-01
382.450,8.139680e-01
382.500,8.175751e-01
382.550,8.166035e-01
382.600,8.163072e-01
382.650,8.185905e-01
382.700,8.194498e-01
382.750,8.194579e-01
382.800,8.167304e-01
382.850,8.177653e-01
382.900,8.189803e-01
382.950,8.202011e-01
383.000,8.179844e-01
383.050,8.186295e-01
383.100,8.172853e-01
383.150,8.173014e-01
383.200,8.207563e-01
383.250,8.218108e-01
383.300,8.196324e-01
383.350,8.215585e-01
383.400,8.206683e-01
383.450,8.191789e-01
383.500,8.209920e-01
383.550,8.230849e-01
383.600,8.206635e-01
383.650,8.234524e-01
383.700,8.167430e-01
383.750,8.225559e-01
383.800,8.215100e-01
383.850,8.210365e-01
383.900,8.218394e-01
383.950,8.185822e-01
384.001,8.216485e-01
384.051,8.227573e-01
384.101,8.247610e-01
384.151,8.216380e-01
384.201,8.213204e-01
384.251,8.219849e-01
384.301,8.244772e-01
384.351,8.236715e-01
384.401,8.224177e-01
384.451,8.242949e-01
384.501,8.237690e-01
384.551,8.253644e-01
384.601,8.227710e-01
384.651,8.235471e-01
384.701,8.235999e-01
384.751,8.219923e-01
384.801,8.250527e-01
384.851,8.251538e-01
384.901,8.248905e-01
384.951,8.246536e-01
385.001,8.228634e-01
385.051,8.246636e-01
385.101,8.249505e-01
385.151,8.243499e-01
385.201,8.255667e-01
385.251,8.266587e-01
385.301,8.292659e-01
385.351,8.265959e-01
385.401,8.268911e-01
385.451,8.265002e-01
385.501,8.236082e-01
385.551,8.268949e-01
385.601,8.271960e-01
385.651,8.313294e-01
385.701,8.270930e-01
385.751,8.280678e-01
385.801,8.276686e-01
385.851,8.259482e-01
385.901,8.299330e-01
385.951,8.294429e-01
386.001,8.296649e-01
386.051,8.270044e-01
386.101,8.309930e-01
386.151,8.265010e-01
386.201,8.299544e-01
386.251,8.327704e-01
386.301,8.276516e-01
386.351,8.285114e-01
386.401,8.297725e-01
386.451,8.289278e-01
386.501,8.273457e-01
386.551,8.301894e-01
386.601,8.284677e-01
386.651,8.311740e-01
386.701,8.290160e-01
386.751,8.332741e-01
386.801,8.295531e-01
386.851,8.304750e-01
386.901,8.325181e-01
386.951,8.292747e-01
387.001,8.318547e-01
387.051,8.338058e-01
387.101,8.291127e-01
387.151,8.322492e-01
387.201,8.325295e-01
387.251,8.335532e-01
387.301,8.303474e-01
387.351,8.303628e-01
387.401,8.335854e-01
387.451,8.333654e-01
387.501,8.334426e-01
387.551,8.337570e-01
387.601,8.322006e-01
387.651,8.338754e-01
387.701,8.341311e-01
387.751,8.326053e-01
387.801,8.370625e-01
387.851,8.348950e-01
387.901,8.322706e-01
387.951,8.355078e-01
388.001,8.329389e-01
388.051,8.360334e-01
388.101,8.368075e-01
388.151,8.336558e-01
388.201,8.367889e-01
388.251,8.360226e-01
388.301,8.368598e-01
388.351,8.388093e-01
388.401,8.353821e-01
388.451,8.346850e-01
388.501,8.346106e-01
388.551,8.348864e-01
388.601,8.362745e-01
388.651,8.371269e-01
388.701,8.371716e-01
388.751,8.382455e-01
388.801,8.370351e-01
388.851,8.395993e-01
388.901,8.368746e-01
388.951,8.420260e-01
389.001,8.386700e-01
