# Venus Spectrum
# source: Compiled telescope observations
# description: Venus reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Venus
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Venus Express, Akatsuki, Magellan
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,4.569164e-03
301.000,4.698748e-03
302.001,4.632472e-03
303.001,4.737883e-03
304.002,4.827867e-03
305.002,4.893801e-03
306.003,4.972244e-03
307.003,4.987593e-03
308.004,4.992384e-03
309.004,5.062835e-03
310.005,5.129833e-03
311.005,5.175139e-03
312.005,5.268709e-03
313.006,5.278426e-03
314.006,5.288344e-03
315.007,5.361341e-03
316.007,5.374621e-03
317.008,5.490883e-03
318.008,5.463796e-03
319.009,5.675430e-03
320.009,5.688965e-03
321.010,5.650600e-03
322.010,5.796655e-03
323.010,5.837650e-03
324.011,5.886470e-03
325.011,5.814857e-03
326.012,5.977018e-03
327.012,5.869054e-03
328.013,5.940038e-03
329.013,6.027538e-03
330.014,6.043325e-03
331.014,6.084356e-03
332.015,6.229651e-03
333.015,6.198392e-03
334.015,6.229935e-03
335.016,6.329817e-03
336.016,6.410243e-03
337.017,6.402080e-03
338.017,6.506757e-03
339.018,6.575544e-03
340.018,6.631722e-03
341.019,6.674484e-03
342.019,6.627956e-03
343.020,6.671645e-03
344.020,6.896350e-03
345.020,6.784772e-03
346.021,6.899565e-03
347.021,6.868064e-03
348.022,6.861676e-03
349.022,6.991962e-03
350.023,7.054640e-03
351.023,6.960985e-03
352.024,7.095316e-03
353.024,7.083762e-03
354.025,7.177535e-03
355.025,7.273482e-03
356.025,7.316122e-03
357.026,7.318586e-03
358.026,7.398744e-03
359.027,7.437931e-03
360.027,7.505466e-03
361.028,7.436601e-03
362.028,7.455690e-03
363.029,7.631608e-03
364.029,7.650323e-03
365.030,7.508023e-03
366.030,7.749514e-03
367.030,7.643303e-03
368.031,7.731525e-03
369.031,7.828020e-03
370.032,7.732090e-03
371.032,7.857064e-03
372.033,7.964137e-03
373.033,7.965281e-03
374.034,7.984354e-03
375.034,7.910475e-03
376.035,7.959877e-03
377.035,8.164323e-03
378.035,8.118052e-03
379.036,8.074634e-03
380.036,8.027046e-03
381.037,8.219953e-03
382.037,8.297410e-03
383.038,8.192181e-03
384.038,8.209219e-03
385.039,8.383884e-03
386.039,8.487005e-03
387.040,8.433315e-03
388.040,8.438734e-03
389.040,8.649914e-03
390.041,8.647080e-03
391.041,8.372099e-03
392.042,8.620331e-03
393.042,8.479032e-03
394.043,8.692291e-03
395.043,8.653259e-03
396.044,8.567481e-03
397.044,8.678364e-03
398.045,8.536822e-03
399.045,8.657775e-03
400.045,2.939654e-02
401.046,2.986714e-02
402.046,2.916615e-02
403.047,2.939354e-02
404.047,2.949170e-02
405.048,2.989420e-02
406.048,2.962793e-02
407.049,2.951729e-02
408.049,2.992102e-02
409.050,2.976428e-02
410.050,3.002816e-02
411.050,2.980171e-02
412.051,3.009481e-02
413.051,3.052728e-02
414.052,3.031386e-02
415.052,3.105967e-02
416.053,3.064471e-02
417.053,3.059198e-02
418.054,3.125771e-02
419.054,3.074524e-02
420.055,3.074755e-02
421.055,3.086296e-02
422.055,3.082329e-02
423.056,3.130687e-02
424.056,3.111182e-02
425.057,3.147380e-02
426.057,3.087506e-02
427.058,3.133125e-02
428.058,3.097428e-02
429.059,3.176932e-02
430.059,3.127500e-02
431.060,3.134753e-02
432.060,3.176666e-02
433.060,3.133065e-02
434.061,3.220604e-02
435.061,3.141416e-02
436.062,3.193734e-02
437.062,3.229461e-02
438.063,3.186059e-02
439.063,3.167024e-02
440.064,3.240999e-02
441.064,3.210579e-02
442.065,3.207101e-02
443.065,3.258391e-02
444.065,3.246840e-02
445.066,3.232042e-02
446.066,3.212217e-02
447.067,3.254227e-02
448.067,3.234657e-02
449.068,3.250391e-02
450.068,3.239401e-02
451.069,3.303072e-02
452.069,3.265679e-02
