# Example stellar spectrum with Balmer absorption lines
Wavelength(nm),Flux(counts)
400.00,1053.99
401.00,1086.09
402.01,1118.94
403.01,1152.55
404.01,1186.94
405.02,1222.10
406.02,1258.05
407.02,1294.80
408.03,1332.35
409.03,1370.72
410.03,1409.90
411.04,1449.92
412.04,1490.77
413.04,1532.46
414.05,1575.01
415.05,1618.40
416.05,1662.66
417.06,1707.78
418.06,1753.78
419.06,1800.65
420.07,1848.41
421.07,1897.04
422.07,1946.57
423.08,1996.98
424.08,2048.29
425.08,2100.50
426.09,2153.60
427.09,2207.60
428.09,2262.44
429.10,2317.44
430.10,2367.03
431.10,2387.77
432.11,2338.51
433.11,2236.55
434.11,2220.37
435.12,2378.49
436.12,2600.63
437.12,2760.23
438.13,2854.53
439.13,2924.64
440.13,2990.72
441.14,3057.12
442.14,3124.32
443.14,3192.36
444.15,3261.22
445.15,3330.90
446.15,3401.39
447.16,3472.66
448.16,3544.71
449.16,3617.53
450.17,3691.11
451.17,3765.42
452.17,3840.45
453.18,3916.20
454.18,3992.63
455.18,4069.73
456.19,4147.49
457.19,4225.88
458.19,4304.89
459.20,4384.49
460.20,4464.66
461.20,4545.38
462.21,4626.64
463.21,4708.39
464.21,4790.63
465.22,4873.32
466.22,4956.44
467.22,5039.97
468.23,5123.87
469.23,5208.12
470.23,5292.68
471.24,5377.54
472.24,5462.66
473.24,5548.01
474.25,5633.56
475.25,5719.27
476.25,5805.12
477.26,5891.07
478.26,5977.10
479.26,6063.14
480.27,6148.96
481.27,6231.57
482.27,6288.63
483.28,6232.14
484.28,5924.95
485.28,5464.24
486.29,5342.55
487.29,5801.88
488.29,6423.33
489.30,6810.51
490.30,6984.96
491.30,7083.99
492.31,7168.75
493.31,7251.59
494.31,7333.82
495.32,7415.48
496.32,7496.55
497.32,7576.97
498.33,7656.72
499.33,7735.74
500.33,7814.01
501.34,7891.48
502.34,7968.12
503.34,8043.88
504.35,8118.72
505.35,8192.62
506.35,8265.52
507.36,8337.39
508.36,8408.19
509.36,8477.89
510.37,8546.44
511.37,8613.81
512.37,8679.97
513.38,8744.87
514.38,8808.49
515.38,8870.78
516.39,8931.71
517.39,8991.25
518.39,9049.37
519.40,9106.03
520.40,9161.20
521.40,9214.85
522.41,9266.94
523.41,9317.46
524.41,9366.36
525.42,9413.62
526.42,9459.22
527.42,9503.13
528.43,9545.31
529.43,9585.76
530.43,9624.44
531.44,9661.32
532.44,9696.40
533.44,9729.65
534.45,9761.04
535.45,9790.57
536.45,9818.20
537.46,9843.93
538.46,9867.75
539.46,9889.62
540.47,9909.56
541.47,9927.53
542.47,9943.53
543.48,9957.56
544.48,9969.59
545.48,9979.64
546.49,9987.68
547.49,9993.71
548.49,9997.74
549.50,9999.75
550.50,9999.75
551.51,9997.74
552.51,9993.71
553.51,9987.68
554.52,9979.64
555.52,9969.59
556.52,9957.56
557.53,9943.53
558.53,9927.53
559.53,9909.56
560.54,9889.62
561.54,9867.75
562.54,9843.93
563.55,9818.20
564.55,9790.57
565.55,9761.04
566.56,9729.65
567.56,9696.40
568.56,9661.32
569.57,9624.44
570.57,9585.76
571.57,9545.31
572.58,9503.13
573.58,9459.22
574.58,9413.62
575.59,9366.36
576.59,9317.46
577.59,9266.94
578.60,9214.85
579.60,9161.20
580.60,9106.03
581.61,9049.37
582.61,8991.25
583.61,8931.71
584.62,8870.78
585.62,8808.49
586.62,8744.87
587.63,8679.97
588.63,8613.81
589.63,8546.44
590.64,8477.89
591.64,8408.19
592.64,8337.39
593.65,8265.52
594.65,8192.62
595.65,8118.72
596.66,8043.88
597.66,7968.12
598.66,7891.48
599.67,7814.01
600.67,7735.74
601.67,7656.72
602.68,7576.97
603.68,7496.55
604.68,7415.48
605.69,7333.82
606.69,7251.59
607.69,7168.85
608.70,7085.62
609.70,7001.95
610.70,6917.87
611.71,6833.42
612.71,6748.65
613.71,6663.59
614.72,6578.28
615.72,6492.75
616.72,6407.04
617.73,6321.19
618.73,6235.23
619.73,6149.21
620.74,6063.15
621.74,5977.10
622.74,5891.07
623.75,5805.12
624.75,5719.27
625.75,5633.56
626.76,5548.01
627.76,5462.66
628.76,5377.54
629.77,5292.68
630.77,5208.12
631.77,5123.87
632.78,5039.97
633.78,4956.44
634.78,4873.32
635.79,4790.63
636.79,4708.39
637.79,4626.64
638.80,4545.38
639.80,4464.66
640.80,4384.49
641.81,4304.89
642.81,4225.88
643.81,4147.49
644.82,4069.73
645.82,3992.63
646.82,3916.20
647.83,3840.45
648.83,3765.42
649.83,3691.08
650.84,3616.91
651.84,3537.36
652.84,3420.17
653.85,3174.91
654.85,2740.36
655.85,2330.56
656.86,2305.93
657.86,2614.04
658.86,2879.58
659.87,2953.43
660.87,2920.50
661.87,2860.23
662.88,2796.80
663.88,2733.90
664.88,2671.86
665.89,2610.71
666.89,2550.44
667.89,2491.06
668.90,2432.58
669.90,2374.99
670.90,2318.29
671.91,2262.50
672.91,2207.60
673.91,2153.60
674.92,2100.50
675.92,2048.29
676.92,1996.98
677.93,1946.57
678.93,1897.04
679.93,1848.41
680.94,1800.65
681.94,1753.78
682.94,1707.78
683.95,1662.66
684.95,1618.40
685.95,1575.01
686.96,1532.46
687.96,1490.77
688.96,1449.92
689.97,1409.90
690.97,1370.72
691.97,1332.35
692.98,1294.80
693.98,1258.05
694.98,1222.10
695.99,1186.94
696.99,1152.55
697.99,1118.94
699.00,1086.09
700.00,1053.99
