# Earth Spectrum
# source: Compiled telescope observations
# description: Earth reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~5.0 nm
# object: Earth
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: MODIS, SCIAMACHY, multiple satellites
# data_points: 440
#
Wavelength(nm),Flux(W/m²/nm)
300.000,6.043015e-03
305.011,6.393102e-03
310.023,6.712409e-03
315.034,7.088476e-03
320.046,7.436289e-03
325.057,7.658258e-03
330.068,7.939785e-03
335.080,8.353889e-03
340.091,8.610515e-03
345.103,8.933436e-03
350.114,9.228469e-03
355.125,9.608896e-03
360.137,9.774601e-03
365.148,1.009070e-02
370.159,1.058716e-02
375.171,1.077179e-02
380.182,1.095072e-02
385.194,1.130053e-02
390.205,1.144072e-02
395.216,1.196949e-02
400.228,1.232743e-02
405.239,1.240005e-02
410.251,1.274203e-02
415.262,1.312456e-02
420.273,1.360970e-02
425.285,1.381364e-02
430.296,1.410054e-02
435.308,1.425430e-02
440.319,1.456730e-02
445.330,1.435761e-02
450.342,1.480720e-02
455.353,1.471194e-02
460.364,1.454192e-02
465.376,1.515096e-02
470.387,1.459665e-02
475.399,1.460634e-02
480.410,1.436595e-02
485.421,1.438983e-02
490.433,1.405934e-02
495.444,1.410531e-02
500.456,1.391577e-02
505.467,1.374372e-02
510.478,1.386468e-02
515.490,1.327675e-02
520.501,1.346605e-02
525.513,1.332779e-02
530.524,1.340977e-02
535.535,1.305439e-02
540.547,1.323732e-02
545.558,1.293743e-02
550.569,1.324383e-02
555.581,1.319494e-02
560.592,1.297465e-02
565.604,1.277920e-02
570.615,1.272571e-02
575.626,1.262489e-02
580.638,1.276003e-02
585.649,1.256893e-02
590.661,1.241588e-02
595.672,1.248834e-02
600.683,1.242390e-02
605.695,1.217648e-02
610.706,1.200160e-02
615.718,1.196903e-02
620.729,1.208342e-02
625.740,1.206262e-02
630.752,1.162644e-02
635.763,1.175869e-02
640.774,1.146223e-02
645.786,1.133847e-02
650.797,1.142664e-02
655.809,1.137569e-02
660.820,1.124122e-02
665.831,1.142692e-02
670.843,1.116006e-02
675.854,1.122589e-02
680.866,1.061871e-02
685.877,8.380998e-03
690.888,9.592380e-03
695.900,1.106284e-02
700.911,1.108943e-02
705.923,1.123051e-02
710.934,1.140114e-02
715.945,1.108679e-02
720.957,1.123454e-02
725.968,1.136625e-02
730.979,1.117459e-02
735.991,1.129577e-02
741.002,1.148483e-02
746.014,1.145190e-02
751.025,1.122036e-02
756.036,9.373595e-03
761.048,7.536319e-03
766.059,1.017736e-02
771.071,1.097848e-02
776.082,1.098780e-02
781.093,1.085616e-02
786.105,1.089158e-02
791.116,1.074400e-02
796.128,1.077611e-02
801.139,1.053210e-02
806.150,1.049494e-02
811.162,1.023805e-02
816.173,1.011926e-02
821.185,1.018605e-02
826.196,1.002794e-02
831.207,9.872977e-03
836.219,9.712115e-03
841.230,9.676501e-03
846.241,9.654911e-03
851.253,9.474782e-03
856.264,9.461820e-03
861.276,9.203108e-03
866.287,9.141221e-03
871.298,9.151609e-03
876.310,8.903986e-03
881.321,8.684112e-03
886.333,8.601694e-03
891.344,8.488405e-03
896.355,8.123073e-03
901.367,7.614860e-03
906.378,7.290326e-03
911.390,6.615057e-03
916.401,6.055146e-03
921.412,5.288465e-03
926.424,4.748492e-03
931.435,4.245362e-03
936.446,3.917061e-03
941.458,3.859644e-03
946.469,3.989360e-03
951.481,4.274695e-03
956.492,4.717983e-03
961.503,5.206609e-03
966.515,5.587003e-03
971.526,6.034561e-03
976.538,6.380490e-03
981.549,6.427516e-03
986.560,6.667285e-03
991.572,6.773551e-03
996.583,6.743899e-03
1001.595,6.696848e-03
1006.606,6.654622e-03
1011.617,6.549145e-03
1016.629,6.408854e-03
1021.640,6.471951e-03
1026.651,6.346553e-03
1031.663,6.276902e-03
1036.674,6.309322e-03
1041.686,6.133997e-03
1046.697,6.139995e-03
1051.708,5.927841e-03
1056.720,5.905962e-03
1061.731,5.727517e-03
1066.743,5.541749e-03
1071.754,5.427098e-03
1076.765,5.102454e-03
1081.777,4.931219e-03
1086.788,4.565943e-03
1091.800,4.281023e-03
1096.811,3.836451e-03
1101.822,3.532351e-03
1106.834,3.215353e-03
1111.845,2.899136e-03
1116.856,2.608817e-03
1121.868,2.424219e-03
1126.879,2.329746e-03
1131.891,2.295416e-03
1136.902,2.280950e-03
1141.913,2.444492e-03
1146.925,2.610936e-03
1151.936,2.844045e-03
1156.948,3.098465e-03
1161.959,3.312283e-03
1166.970,3.515165e-03
1171.982,3.788690e-03
1176.993,3.947952e-03
1182.005,4.041466e-03
1187.016,4.096769e-03
1192.027,4.186914e-03
1197.039,4.138406e-03
1202.050,4.239094e-03
1207.062,4.167053e-03
1212.073,4.314125e-03
1217.084,4.177783e-03
1222.096,4.107909e-03
1227.107,4.036411e-03
1232.118,4.025513e-03
1237.130,3.979389e-03
1242.141,3.961077e-03
1247.153,3.920803e-03
1252.164,3.870885e-03
1257.175,3.852533e-03
1262.187,3.712558e-03
1267.198,3.710464e-03
1272.210,3.673014e-03
1277.221,3.606795e-03
