# Jupiter Spectrum
# source: Modeled from published albedo data
# description: Jupiter - CH4 and NH3 absorption bands
# object: Jupiter
# observation_type: Reflected solar spectrum
#
Wavelength(nm),Flux(W/m²/nm)
300.00,6.292000e-01
304.41,6.619840e-01
308.82,6.947679e-01
313.23,7.203376e-01
317.64,7.432634e-01
322.04,7.621501e-01
326.45,7.763642e-01
330.86,7.895924e-01
335.27,7.987627e-01
339.68,8.079331e-01
344.09,8.122139e-01
348.50,8.161113e-01
352.91,8.206131e-01
357.31,8.254276e-01
361.72,8.303316e-01
366.13,8.353753e-01
370.54,8.404190e-01
374.95,8.454627e-01
379.36,8.505064e-01
383.77,8.573133e-01
388.18,8.644203e-01
392.59,8.851046e-01
396.99,9.153667e-01
401.40,9.402309e-01
405.81,9.535279e-01
410.22,9.665154e-01
414.63,9.736224e-01
419.04,9.807294e-01
423.45,9.856855e-01
427.86,9.900414e-01
432.26,9.934553e-01
436.67,9.959772e-01
441.08,9.983302e-01
445.49,1.000164e+00
449.90,1.001998e+00
454.31,1.003160e+00
458.72,1.004307e+00
463.13,1.004803e+00
467.54,1.005032e+00
471.94,1.004756e+00
476.35,1.003839e+00
480.76,1.002803e+00
485.17,1.001198e+00
489.58,9.995932e-01
493.99,9.977810e-01
498.40,9.959469e-01
502.81,9.939670e-01
507.21,9.919036e-01
511.62,9.900091e-01
516.03,9.884043e-01
520.44,9.868454e-01
524.85,9.856991e-01
529.26,9.845528e-01
533.67,9.837879e-01
538.08,9.831001e-01
542.48,9.825416e-01
546.89,9.820830e-01
551.30,9.816923e-01
555.71,9.814630e-01
560.12,9.812400e-01
564.53,9.812400e-01
568.94,9.812400e-01
573.35,9.812400e-01
577.76,9.812400e-01
582.16,9.813525e-01
586.57,9.815818e-01
590.98,9.818111e-01
595.39,9.820403e-01
599.80,9.822696e-01
604.21,9.820612e-01
608.62,9.818319e-01
613.03,9.809732e-01
617.43,9.798269e-01
621.84,9.784889e-01
626.25,9.768841e-01
630.66,9.751417e-01
635.07,9.726199e-01
639.48,9.700980e-01
643.89,9.669697e-01
648.30,9.637601e-01
652.71,9.604098e-01
657.11,9.569709e-01
661.52,9.532944e-01
665.93,9.491678e-01
670.34,9.450234e-01
674.75,9.406675e-01
679.16,9.363116e-01
683.57,9.315847e-01
687.98,9.267703e-01
692.38,9.218318e-01
696.79,9.167881e-01
701.20,9.116819e-01
705.61,9.064090e-01
710.02,9.011350e-01
714.43,8.956328e-01
718.84,8.901306e-01
723.25,8.844596e-01
727.66,8.787281e-01
732.06,8.729966e-01
736.47,8.672652e-01
740.88,8.614420e-01
745.29,8.552520e-01
749.70,8.490620e-01
754.11,8.428721e-01
758.52,8.366821e-01
762.93,8.304921e-01
767.33,8.243021e-01
771.74,8.180214e-01
776.15,8.116020e-01
780.56,8.051822e-01
784.97,7.987615e-01
789.38,7.923383e-01
793.79,7.857122e-01
798.20,7.790398e-01
802.61,7.723358e-01
807.01,7.655645e-01
811.42,7.586568e-01
815.83,7.514855e-01
820.24,7.438367e-01
824.65,7.354537e-01
829.06,7.256805e-01
833.47,7.137391e-01
837.88,6.986097e-01
842.28,6.790788e-01
846.69,6.538754e-01
851.10,6.219078e-01
855.51,5.825899e-01
859.92,5.361997e-01
864.33,4.842608e-01
868.74,4.294156e-01
873.15,3.755542e-01
877.56,3.272770e-01
881.96,2.892076e-01
886.37,2.651232e-01
890.78,2.572145e-01
895.19,2.656858e-01
899.60,2.886815e-01
904.01,3.227225e-01
908.42,3.632652e-01
912.83,4.056434e-01
917.23,4.457842e-01
921.64,4.807425e-01
926.05,5.088633e-01
930.46,5.296101e-01
934.87,5.434300e-01
939.28,5.513444e-01
943.69,5.547984e-01
948.10,5.548841e-01
952.51,5.526260e-01
956.91,5.488477e-01
961.32,5.441721e-01
965.73,5.390362e-01
970.14,5.336027e-01
974.55,5.280136e-01
978.96,5.223471e-01
983.37,5.168190e-01
987.78,5.113286e-01
992.18,5.058311e-01
996.59,5.003307e-01
1001.00,4.949646e-01
1005.41,4.900587e-01
1009.82,4.851527e-01
1014.23,4.802466e-01
1018.64,4.753404e-01
1023.05,4.704343e-01
1027.45,4.655282e-01
1031.86,4.606220e-01
1036.27,4.557159e-01
1040.68,4.508098e-01
1045.09,4.459036e-01
1049.50,4.409975e-01
1053.91,4.365791e-01
1058.32,4.322232e-01
1062.73,4.278673e-01
1067.13,4.235113e-01
1071.54,4.191554e-01
1075.95,4.147995e-01
1080.36,4.104436e-01
1084.77,4.060877e-01
1089.18,4.017318e-01
1093.59,3.973759e-01
1098.00,3.930200e-01
1102.40,3.889141e-01
1106.81,3.850168e-01
1111.22,3.811194e-01
1115.63,3.772220e-01
1120.04,3.733246e-01
1124.45,3.694272e-01
1128.86,3.655298e-01
1133.27,3.616324e-01
1137.68,3.577350e-01
1142.08,3.538376e-01
1146.49,3.499402e-01
1150.90,3.461272e-01
1155.31,3.426425e-01
1159.72,3.391578e-01
1164.13,3.356730e-01
1168.54,3.321883e-01
1172.95,3.287036e-01
1177.35,3.252188e-01
1181.76,3.217341e-01
1186.17,3.182494e-01
1190.58,3.147646e-01
1194.99,3.112799e-01
1199.40,3.077951e-01
1203.81,3.046667e-01
1208.22,3.015946e-01
1212.63,2.985224e-01
1217.03,2.954502e-01
1221.44,2.923780e-01
1225.85,2.893056e-01
1230.26,2.862331e-01
1234.67,2.831605e-01
1239.08,2.800877e-01
1243.49,2.770145e-01
1247.90,2.739409e-01
1252.30,2.710345e-01
1256.71,2.682805e-01
1261.12,2.655255e-01
1265.53,2.627691e-01
1269.94,2.600109e-01
1274.35,2.572503e-01
1278.76,2.544868e-01
1283.17,2.517193e-01
1287.58,2.489468e-01
1291.98,2.461679e-01
1296.39,2.433811e-01
1300.80,2.406426e-01
1305.21,2.381541e-01
1309.62,2.356502e-01
1314.03,2.331274e-01
1318.44,2.305818e-01
1322.85,2.280087e-01
1327.25,2.254027e-01
1331.66,2.227579e-01
1336.07,2.200673e-01
1340.48,2.173234e-01
1344.89,2.145182e-01
1349.30,2.116426e-01
1353.71,2.089154e-01
1358.12,2.061403e-01
1362.53,2.032635e-01
1366.93,2.002746e-01
1371.34,1.971632e-01
1375.75,1.939196e-01
1380.16,1.905348e-01
1384.57,1.870014e-01
1388.98,1.833134e-01
1393.39,1.794671e-01
1397.80,1.754614e-01
1402.20,1.714025e-01
1406.61,1.672913e-01
1411.02,1.630305e-01
1415.43,1.586322e-01
1419.84,1.541127e-01
1424.25,1.494926e-01
1428.66,1.447964e-01
1433.07,1.400526e-01
1437.47,1.352932e-01
1441.88,1.305533e-01
1446.29,1.258699e-01
1450.70,1.213085e-01
1455.11,1.170168e-01
1459.52,1.128908e-01
1463.93,1.089686e-01
1468.34,1.052862e-01
1472.75,1.018762e-01
1477.15,9.876701e-02
1481.56,9.598173e-02
1485.97,9.353748e-02
