# Mars Spectrum
# source: Compiled telescope observations
# description: Mars reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~5.0 nm
# object: Mars
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Mars Express, MRO, Viking
# data_points: 440
#
Wavelength(nm),Flux(W/m²/nm)
300.000,3.259608e-03
305.011,3.478199e-03
310.023,3.643470e-03
315.034,3.832400e-03
320.046,4.087887e-03
325.057,4.177125e-03
330.068,4.395227e-03
335.080,4.466314e-03
340.091,4.641956e-03
345.103,4.874452e-03
350.114,5.119387e-03
355.125,5.113359e-03
360.137,5.316403e-03
365.148,5.422738e-03
370.159,5.641754e-03
375.171,5.672140e-03
380.182,5.922024e-03
385.194,5.993949e-03
390.205,6.108034e-03
395.216,6.221006e-03
400.228,6.267501e-03
405.239,6.286083e-03
410.251,6.420443e-03
415.262,6.480155e-03
420.273,6.635978e-03
425.285,6.562114e-03
430.296,6.857485e-03
435.308,6.677713e-03
440.319,6.932871e-03
445.330,6.844341e-03
450.342,6.935533e-03
455.353,6.915248e-03
460.364,7.076553e-03
465.376,7.074635e-03
470.387,6.963845e-03
475.399,7.053642e-03
480.410,7.149417e-03
485.421,7.151174e-03
490.433,7.225649e-03
495.444,7.245932e-03
500.456,7.173508e-03
505.467,7.205492e-03
510.478,7.129791e-03
515.490,7.134163e-03
520.501,6.995282e-03
525.513,7.176318e-03
530.524,7.027119e-03
535.535,7.192277e-03
540.547,7.107199e-03
545.558,7.058730e-03
550.569,1.077148e-02
555.581,1.075772e-02
560.592,1.063511e-02
565.604,1.065883e-02
570.615,1.047621e-02
575.626,1.074850e-02
580.638,1.044151e-02
585.649,1.020482e-02
590.661,1.033298e-02
595.672,1.025469e-02
600.683,1.001673e-02
605.695,1.026363e-02
610.706,1.002144e-02
615.718,9.941484e-03
620.729,1.008281e-02
625.740,9.854520e-03
630.752,9.863561e-03
635.763,9.592375e-03
640.774,9.594251e-03
645.786,9.642006e-03
650.797,1.285661e-02
655.809,1.282398e-02
660.820,1.262415e-02
665.831,1.230261e-02
670.843,1.221572e-02
675.854,1.246799e-02
680.866,1.207149e-02
685.877,1.201719e-02
690.888,1.179225e-02
695.900,1.186219e-02
700.911,1.184429e-02
705.923,1.162311e-02
710.934,1.171396e-02
715.945,1.128572e-02
720.957,1.122363e-02
725.968,1.113080e-02
730.979,1.120336e-02
735.991,1.099702e-02
741.002,1.093713e-02
746.014,1.064647e-02
751.025,1.048178e-02
756.036,1.052645e-02
761.048,1.039764e-02
766.059,1.021632e-02
771.071,1.011517e-02
776.082,9.940548e-03
781.093,9.922619e-03
786.105,9.896116e-03
791.116,9.905516e-03
796.128,9.766859e-03
801.139,9.778661e-03
806.150,9.330400e-03
811.162,9.327789e-03
816.173,9.204854e-03
821.185,8.874742e-03
826.196,8.874265e-03
831.207,8.884302e-03
836.219,8.803762e-03
841.230,8.677703e-03
846.241,8.749798e-03
851.253,8.518435e-03
856.264,8.395245e-03
861.276,8.348721e-03
866.287,8.217558e-03
871.298,8.180855e-03
876.310,7.983206e-03
881.321,8.003390e-03
886.333,7.924897e-03
891.344,7.934525e-03
896.355,7.657927e-03
901.367,7.565876e-03
906.378,7.514243e-03
911.390,7.535097e-03
916.401,7.384087e-03
921.412,7.213848e-03
926.424,7.289275e-03
931.435,7.055970e-03
936.446,7.083525e-03
941.458,6.990026e-03
946.469,6.870855e-03
951.481,6.747274e-03
956.492,6.728805e-03
961.503,6.602771e-03
966.515,6.698438e-03
971.526,6.547089e-03
976.538,6.459511e-03
981.549,6.326436e-03
986.560,6.136099e-03
991.572,6.214260e-03
996.583,6.120218e-03
1001.595,6.010333e-03
1006.606,6.048889e-03
1011.617,5.913681e-03
1016.629,5.842892e-03
1021.640,5.729400e-03
1026.651,5.760290e-03
1031.663,5.771925e-03
1036.674,5.593732e-03
1041.686,5.522916e-03
1046.697,5.380539e-03
1051.708,5.363026e-03
1056.720,5.362389e-03
1061.731,5.162096e-03
1066.743,5.318799e-03
1071.754,5.165450e-03
1076.765,5.152217e-03
1081.777,4.994971e-03
1086.788,5.036432e-03
1091.800,4.923989e-03
1096.811,4.921980e-03
1101.822,4.837487e-03
1106.834,4.807519e-03
1111.845,4.787626e-03
1116.856,4.665992e-03
1121.868,4.567426e-03
1126.879,4.613290e-03
1131.891,4.520687e-03
1136.902,4.485774e-03
1141.913,4.357648e-03
1146.925,4.299014e-03
1151.936,4.335869e-03
1156.948,4.207570e-03
1161.959,4.216447e-03
