# Mercury Spectrum
# source: Modeled from published albedo data
# description: Mercury - Rocky surface, no atmosphere
# object: Mercury
# observation_type: Reflected solar spectrum
#
Wavelength(nm),Flux(W/m²/nm)
300.00,1.452000e-01
304.41,1.527655e-01
308.82,1.603311e-01
313.23,1.662317e-01
317.64,1.715223e-01
322.04,1.758808e-01
326.45,1.791610e-01
330.86,1.822136e-01
335.27,1.843299e-01
339.68,1.864461e-01
344.09,1.874340e-01
348.50,1.883334e-01
352.91,1.893723e-01
357.31,1.904833e-01
361.72,1.916150e-01
366.13,1.927789e-01
370.54,1.939428e-01
374.95,1.951068e-01
379.36,1.962707e-01
383.77,1.978415e-01
388.18,1.994816e-01
392.59,2.042549e-01
396.99,2.112385e-01
401.40,2.169764e-01
405.81,2.200449e-01
410.22,2.230420e-01
414.63,2.246821e-01
419.04,2.263222e-01
423.45,2.274659e-01
427.86,2.284711e-01
432.26,2.292589e-01
436.67,2.298409e-01
441.08,2.303839e-01
445.49,2.308071e-01
449.90,2.312304e-01
454.31,2.314985e-01
458.72,2.317630e-01
463.13,2.318775e-01
467.54,2.319304e-01
471.94,2.318667e-01
476.35,2.316551e-01
480.76,2.314160e-01
485.17,2.310457e-01
489.58,2.306754e-01
493.99,2.302572e-01
498.40,2.298339e-01
502.81,2.293770e-01
507.21,2.289008e-01
511.62,2.284636e-01
516.03,2.280933e-01
520.44,2.277335e-01
524.85,2.274690e-01
529.26,2.272045e-01
533.67,2.270280e-01
538.08,2.268693e-01
542.48,2.267404e-01
546.89,2.266345e-01
551.30,2.265444e-01
555.71,2.264915e-01
560.12,2.264400e-01
564.53,2.264400e-01
568.94,2.264400e-01
573.35,2.264400e-01
577.76,2.264400e-01
582.16,2.264660e-01
586.57,2.265189e-01
590.98,2.265718e-01
595.39,2.266247e-01
599.80,2.266776e-01
604.21,2.266295e-01
608.62,2.265766e-01
613.03,2.263784e-01
617.43,2.261139e-01
621.84,2.258051e-01
626.25,2.254348e-01
630.66,2.250327e-01
635.07,2.244507e-01
639.48,2.238688e-01
643.89,2.231469e-01
648.30,2.224062e-01
652.71,2.216330e-01
657.11,2.208394e-01
661.52,2.199910e-01
665.93,2.190387e-01
670.34,2.180823e-01
674.75,2.170771e-01
679.16,2.160719e-01
683.57,2.149811e-01
687.98,2.138701e-01
692.38,2.127304e-01
696.79,2.115665e-01
701.20,2.103881e-01
705.61,2.091713e-01
710.02,2.079542e-01
714.43,2.066845e-01
718.84,2.054147e-01
723.25,2.041061e-01
727.66,2.027834e-01
732.06,2.014608e-01
736.47,2.001381e-01
740.88,1.987943e-01
745.29,1.973659e-01
749.70,1.959374e-01
754.11,1.945089e-01
758.52,1.930805e-01
762.93,1.916520e-01
767.33,1.902236e-01
771.74,1.887742e-01
776.15,1.872928e-01
780.56,1.858115e-01
784.97,1.843301e-01
789.38,1.828487e-01
793.79,1.813219e-01
798.20,1.797877e-01
802.61,1.782534e-01
807.01,1.767191e-01
811.42,1.751848e-01
815.83,1.736506e-01
820.24,1.721178e-01
824.65,1.706099e-01
829.06,1.691021e-01
833.47,1.675943e-01
837.88,1.660865e-01
842.28,1.645787e-01
846.69,1.630709e-01
851.10,1.615630e-01
855.51,1.600552e-01
859.92,1.585474e-01
864.33,1.570656e-01
868.74,1.555842e-01
873.15,1.541028e-01
877.56,1.526215e-01
881.96,1.511519e-01
886.37,1.496970e-01
890.78,1.482421e-01
895.19,1.467872e-01
899.60,1.453323e-01
904.01,1.439014e-01
908.42,1.424729e-01
912.83,1.410445e-01
917.23,1.396160e-01
921.64,1.381974e-01
926.05,1.367954e-01
930.46,1.353934e-01
934.87,1.339914e-01
939.28,1.325894e-01
943.69,1.312317e-01
948.10,1.298826e-01
952.51,1.285335e-01
956.91,1.271844e-01
961.32,1.258432e-01
965.73,1.245206e-01
970.14,1.231979e-01
974.55,1.218753e-01
978.96,1.205526e-01
983.37,1.192704e-01
987.78,1.180006e-01
992.18,1.167309e-01
996.59,1.154612e-01
1001.00,1.142227e-01
1005.41,1.130905e-01
1009.82,1.119583e-01
