# Moon Spectrum
# source: Compiled telescope observations
# description: Moon reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~1.0 nm
# object: Moon
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Clementine, LRO, Apollo
# data_points: 2200
#
Wavelength(nm),Flux(W/m²/nm)
300.000,2.156006e-03
301.000,2.212701e-03
302.001,2.188697e-03
303.001,2.228194e-03
304.002,2.234227e-03
305.002,2.258863e-03
306.003,2.282572e-03
307.003,2.354971e-03
308.004,2.288167e-03
309.004,2.388550e-03
310.005,2.421814e-03
311.005,2.400789e-03
312.005,2.455140e-03
313.006,2.449811e-03
314.006,2.439564e-03
315.007,2.523042e-03
316.007,2.551032e-03
317.008,2.589745e-03
318.008,2.609819e-03
319.009,2.535662e-03
320.009,2.587151e-03
321.010,2.634841e-03
322.010,2.671311e-03
323.010,2.682783e-03
324.011,2.699055e-03
325.011,2.741171e-03
326.012,2.781687e-03
327.012,2.797547e-03
328.013,2.825332e-03
329.013,2.867806e-03
330.014,2.905780e-03
331.014,2.857745e-03
332.015,2.943017e-03
333.015,2.908682e-03
334.015,2.958018e-03
335.016,2.975691e-03
336.016,2.995353e-03
337.017,2.996321e-03
338.017,3.033582e-03
339.018,3.026102e-03
340.018,3.079903e-03
341.019,3.089520e-03
342.019,3.110317e-03
343.020,3.187626e-03
344.020,3.202986e-03
345.020,3.225891e-03
346.021,3.214560e-03
347.021,3.246042e-03
348.022,3.232850e-03
349.022,3.289980e-03
350.023,3.722520e-03
351.023,3.720844e-03
352.024,3.666651e-03
353.024,3.706809e-03
354.025,3.729438e-03
355.025,3.712559e-03
356.025,3.745080e-03
357.026,3.823524e-03
358.026,3.797502e-03
359.027,3.801500e-03
360.027,3.825683e-03
361.028,3.865807e-03
362.028,3.992293e-03
363.029,3.960017e-03
364.029,3.930016e-03
365.030,4.011473e-03
366.030,3.942030e-03
367.030,4.066897e-03
368.031,4.065871e-03
369.031,4.037891e-03
370.032,4.029530e-03
371.032,4.029937e-03
372.033,4.103743e-03
373.033,4.166921e-03
374.034,4.114567e-03
375.034,4.009516e-03
376.035,4.229439e-03
377.035,4.143567e-03
378.035,4.212327e-03
379.036,4.225812e-03
380.036,4.222631e-03
381.037,4.309161e-03
382.037,4.358063e-03
383.038,4.337099e-03
384.038,4.321270e-03
385.039,4.272747e-03
386.039,4.434731e-03
387.040,4.367721e-03
388.040,4.396539e-03
389.040,4.375190e-03
390.041,4.442715e-03
391.041,4.341109e-03
392.042,4.466438e-03
393.042,4.471726e-03
394.043,4.426178e-03
395.043,4.445213e-03
396.044,4.535854e-03
397.044,4.457660e-03
398.045,4.571217e-03
399.045,4.517799e-03
400.045,4.667877e-03
401.046,4.619813e-03
402.046,4.611181e-03
403.047,4.601790e-03
404.047,4.614055e-03
405.048,4.720836e-03
406.048,4.710841e-03
407.049,4.558051e-03
408.049,4.718879e-03
409.050,4.643189e-03
410.050,4.678512e-03
411.050,4.705062e-03
412.051,4.695566e-03
413.051,4.728631e-03
414.052,4.836365e-03
415.052,4.744985e-03
416.053,4.753582e-03
417.053,4.892922e-03
418.054,4.864890e-03
419.054,4.844487e-03
420.055,4.803020e-03
421.055,4.919175e-03
422.055,4.863789e-03
423.056,4.906865e-03
424.056,4.880267e-03
425.057,4.897585e-03
426.057,4.934914e-03
427.058,4.925620e-03
428.058,4.954493e-03
429.059,4.882763e-03
430.059,4.938292e-03
431.060,5.000594e-03
432.060,4.963683e-03
433.060,5.005308e-03
434.061,5.072424e-03
435.061,4.941473e-03
436.062,4.988395e-03
437.062,4.958898e-03
438.063,5.029472e-03
439.063,5.021011e-03
440.064,5.054506e-03
441.064,4.987174e-03
442.065,4.990842e-03
443.065,5.075533e-03
444.065,5.081015e-03
445.066,5.033378e-03
446.066,5.128519e-03
447.067,5.044476e-03
448.067,5.136373e-03
449.068,5.086478e-03
450.068,5.149212e-03
451.069,5.208795e-03
452.069,5.115218e-03
453.070,5.185743e-03
454.070,5.110972e-03
455.070,5.128917e-03
456.071,5.135908e-03
457.071,5.246547e-03
458.072,5.190893e-03
459.072,5.196857e-03
460.073,5.111562e-03
461.073,5.210071e-03
462.074,5.213878e-03
463.074,5.209618e-03
464.075,5.243177e-03
465.075,5.207015e-03
466.075,5.217684e-03
