# Neptune Spectrum
# source: Compiled telescope observations
# description: Neptune reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~5.0 nm
# object: Neptune
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Voyager 2, HST, Keck
# data_points: 440
#
Wavelength(nm),Flux(W/m²/nm)
300.000,1.190088e-02
305.011,1.259226e-02
310.023,1.301936e-02
315.034,1.401529e-02
320.046,1.439061e-02
325.057,1.516462e-02
330.068,1.561114e-02
335.080,1.601467e-02
340.091,1.676871e-02
345.103,1.743925e-02
350.114,1.797747e-02
355.125,1.831682e-02
360.137,1.930217e-02
365.148,1.950910e-02
370.159,2.006838e-02
375.171,2.075285e-02
380.182,2.060891e-02
385.194,2.142427e-02
390.205,2.150095e-02
395.216,2.205551e-02
400.228,2.241217e-02
405.239,2.299984e-02
410.251,2.281487e-02
415.262,2.354022e-02
420.273,2.424330e-02
425.285,2.448956e-02
430.296,2.452223e-02
435.308,2.396778e-02
440.319,2.506523e-02
445.330,2.529485e-02
450.342,2.487750e-02
455.353,2.551924e-02
460.364,2.517157e-02
465.376,2.579434e-02
470.387,2.555690e-02
475.399,2.567291e-02
480.410,2.528657e-02
485.421,2.613402e-02
490.433,2.529947e-02
495.444,2.593472e-02
500.456,1.955052e-02
505.467,1.969554e-02
510.478,1.977474e-02
515.490,1.972803e-02
520.501,1.989538e-02
525.513,1.965608e-02
530.524,1.967386e-02
535.535,1.977012e-02
540.547,1.952867e-02
545.558,1.954242e-02
550.569,1.801196e-02
555.581,1.736668e-02
560.592,1.776387e-02
565.604,1.775732e-02
570.615,1.753432e-02
575.626,1.697584e-02
580.638,1.708344e-02
585.649,1.712928e-02
590.661,1.716363e-02
595.672,1.697191e-02
600.683,1.697421e-02
605.695,1.669266e-02
610.706,1.659878e-02
615.718,1.636732e-02
620.729,1.642144e-02
625.740,1.629128e-02
630.752,1.620551e-02
635.763,1.603785e-02
640.774,1.579870e-02
645.786,1.572115e-02
650.797,7.839170e-03
655.809,7.756479e-03
660.820,7.642076e-03
665.831,7.634420e-03
670.843,7.548197e-03
675.854,7.445141e-03
680.866,7.345496e-03
685.877,7.264490e-03
690.888,7.340913e-03
695.900,7.028196e-03
700.911,7.083694e-03
705.923,6.942343e-03
710.934,6.979549e-03
715.945,7.022284e-03
720.957,6.906206e-03
725.968,6.756824e-03
730.979,6.607262e-03
735.991,6.612803e-03
741.002,6.566320e-03
746.014,6.436993e-03
751.025,6.380274e-03
756.036,6.492229e-03
761.048,6.282070e-03
766.059,6.177002e-03
771.071,6.218522e-03
776.082,6.146748e-03
781.093,6.044183e-03
786.105,6.059209e-03
791.116,5.933078e-03
796.128,5.889323e-03
801.139,5.767632e-03
806.150,5.638681e-03
811.162,5.641447e-03
816.173,5.568554e-03
821.185,5.475388e-03
826.196,5.458663e-03
831.207,5.366324e-03
836.219,5.317899e-03
841.230,5.165270e-03
846.241,4.955534e-03
851.253,4.878477e-03
856.264,4.426197e-03
861.276,3.969562e-03
866.287,3.406719e-03
871.298,2.778897e-03
876.310,1.991357e-03
881.321,1.391686e-03
886.333,1.031169e-03
891.344,9.674505e-04
896.355,1.198326e-03
901.367,1.654792e-03
906.378,2.182960e-03
911.390,2.740253e-03
916.401,3.307941e-03
921.412,3.709616e-03
926.424,4.009832e-03
931.435,4.108993e-03
936.446,4.171993e-03
941.458,4.275269e-03
946.469,4.126316e-03
951.481,4.134289e-03
956.492,4.052693e-03
961.503,4.067573e-03
966.515,3.939143e-03
971.526,3.831452e-03
976.538,3.746650e-03
981.549,3.601202e-03
986.560,3.443245e-03
991.572,3.267742e-03
996.583,2.902838e-03
1001.595,2.628381e-03
1006.606,2.149728e-03
1011.617,1.760032e-03
1016.629,1.359211e-03
1021.640,1.069949e-03
1026.651,9.014770e-04
1031.663,8.574093e-04
1036.674,9.761939e-04
1041.686,1.188751e-03
1046.697,1.478361e-03
1051.708,1.825627e-03
1056.720,2.089902e-03
1061.731,2.408536e-03
1066.743,2.654067e-03
1071.754,2.779249e-03
1076.765,2.918100e-03
1081.777,2.973662e-03
1086.788,3.011197e-03
1091.800,2.936875e-03
1096.811,2.907186e-03
1101.822,2.947478e-03
1106.834,2.878906e-03
1111.845,2.929871e-03
1116.856,2.831984e-03
1121.868,2.818070e-03
1126.879,2.787844e-03
1131.891,2.673858e-03
1136.902,2.663388e-03
1141.913,2.689288e-03
1146.925,2.691953e-03
1151.936,2.644037e-03
1156.948,2.593631e-03
1161.959,2.578563e-03
1166.970,2.542806e-03
1171.982,2.431870e-03
1176.993,2.453947e-03
1182.005,2.355071e-03
1187.016,2.250263e-03
1192.027,2.150410e-03
1197.039,2.016706e-03
1202.050,1.866979e-03
1207.062,1.711868e-03
1212.073,1.510966e-03
1217.084,1.292666e-03
1222.096,1.069555e-03
1227.107,8.690976e-04
1232.118,6.642835e-04
1237.130,5.132946e-04
