# Saturn Spectrum
# source: Modeled from published albedo data
# description: Saturn - CH4 absorption, rings
# object: Saturn
# observation_type: Reflected solar spectrum
#
Wavelength(nm),Flux(W/m²/nm)
300.00,5.687000e-01
304.41,5.983317e-01
308.82,6.279633e-01
313.23,6.510743e-01
317.64,6.717958e-01
322.04,6.888665e-01
326.45,7.017138e-01
330.86,7.136700e-01
335.27,7.219586e-01
339.68,7.302472e-01
344.09,7.341165e-01
348.50,7.376391e-01
352.91,7.417080e-01
357.31,7.460595e-01
361.72,7.504920e-01
366.13,7.550508e-01
370.54,7.596095e-01
374.95,7.641682e-01
379.36,7.687269e-01
383.77,7.748793e-01
388.18,7.813029e-01
392.59,7.999984e-01
396.99,8.273507e-01
401.40,8.498240e-01
405.81,8.618425e-01
410.22,8.735812e-01
414.63,8.800048e-01
419.04,8.864285e-01
423.45,8.909081e-01
427.86,8.948452e-01
432.26,8.979308e-01
436.67,9.002101e-01
441.08,9.023369e-01
445.49,9.039946e-01
449.90,9.056523e-01
454.31,9.067025e-01
458.72,9.077386e-01
463.13,9.081869e-01
467.54,9.083941e-01
471.94,9.081445e-01
476.35,9.073157e-01
480.76,9.063795e-01
485.17,9.049290e-01
489.58,9.034785e-01
493.99,9.018405e-01
498.40,9.001828e-01
502.81,8.983932e-01
507.21,8.965283e-01
511.62,8.948160e-01
516.03,8.933655e-01
520.44,8.919564e-01
524.85,8.909203e-01
529.26,8.898842e-01
533.67,8.891929e-01
538.08,8.885713e-01
542.48,8.880664e-01
546.89,8.876520e-01
551.30,8.872988e-01
555.71,8.870916e-01
560.12,8.868900e-01
564.53,8.868900e-01
568.94,8.868900e-01
573.35,8.868900e-01
577.76,8.868900e-01
582.16,8.869917e-01
586.57,8.871989e-01
590.98,8.874062e-01
595.39,8.876134e-01
599.80,8.878206e-01
604.21,8.876322e-01
608.62,8.874250e-01
613.03,8.866489e-01
617.43,8.856128e-01
621.84,8.844034e-01
626.25,8.829529e-01
630.66,8.813781e-01
635.07,8.790987e-01
639.48,8.768194e-01
643.89,8.739918e-01
648.30,8.710908e-01
652.71,8.680627e-01
657.11,8.649545e-01
661.52,8.616315e-01
665.93,8.579016e-01
670.34,8.541558e-01
674.75,8.502187e-01
679.16,8.462816e-01
683.57,8.420092e-01
687.98,8.376577e-01
692.38,8.331941e-01
696.79,8.286354e-01
701.20,8.240202e-01
705.61,8.192543e-01
710.02,8.144874e-01
714.43,8.095142e-01
718.84,8.045411e-01
723.25,7.994154e-01
727.66,7.942350e-01
732.06,7.890546e-01
736.47,7.838743e-01
740.88,7.786110e-01
745.29,7.730163e-01
749.70,7.674215e-01
754.11,7.618267e-01
758.52,7.562319e-01
762.93,7.506371e-01
767.33,7.450423e-01
771.74,7.393655e-01
776.15,7.335634e-01
780.56,7.277610e-01
784.97,7.219578e-01
789.38,7.161529e-01
793.79,7.101654e-01
798.20,7.041381e-01
802.61,6.980871e-01
807.01,6.919854e-01
811.42,6.857810e-01
815.83,6.793779e-01
820.24,6.726163e-01
824.65,6.653178e-01
829.06,6.569724e-01
833.47,6.469938e-01
837.88,6.346139e-01
842.28,6.189189e-01
846.69,5.989513e-01
851.10,5.738889e-01
855.51,5.432902e-01
859.92,5.073646e-01
864.33,4.672766e-01
868.74,4.249999e-01
873.15,3.834643e-01
877.56,3.461346e-01
881.96,3.165013e-01
886.37,2.974111e-01
890.78,2.905044e-01
895.19,2.959353e-01
899.60,3.123061e-01
904.01,3.370119e-01
908.42,3.666164e-01
912.83,3.976034e-01
917.23,4.269052e-01
921.64,4.523100e-01
926.05,4.725755e-01
930.46,4.872869e-01
934.87,4.967809e-01
939.28,5.018268e-01
943.69,5.035421e-01
948.10,5.027260e-01
952.51,5.001445e-01
956.91,4.964180e-01
961.32,4.920209e-01
965.73,4.872891e-01
970.14,4.823332e-01
974.55,4.772600e-01
978.96,4.721286e-01
983.37,4.671278e-01
987.78,4.621635e-01
992.18,4.571939e-01
996.59,4.522221e-01
1001.00,4.473719e-01
1005.41,4.429377e-01
1009.82,4.385034e-01
1014.23,4.340690e-01
1018.64,4.296346e-01
1023.05,4.252002e-01
1027.45,4.207659e-01
1031.86,4.163315e-01
1036.27,4.118971e-01
1040.68,4.074627e-01
1045.09,4.030283e-01
1049.50,3.985939e-01
1053.91,3.946003e-01
1058.32,3.906632e-01
1062.73,3.867262e-01
1067.13,3.827891e-01
1071.54,3.788520e-01
1075.95,3.749149e-01
1080.36,3.709779e-01
1084.77,3.670408e-01
1089.18,3.631037e-01
1093.59,3.591667e-01
1098.00,3.552296e-01
1102.40,3.515186e-01
1106.81,3.479959e-01
1111.22,3.444733e-01
1115.63,3.409506e-01
1120.04,3.374280e-01
1124.45,3.339053e-01
1128.86,3.303827e-01
1133.27,3.268600e-01
1137.68,3.233374e-01
1142.08,3.198147e-01
1146.49,3.162921e-01
1150.90,3.128458e-01
1155.31,3.096961e-01
1159.72,3.065464e-01
1164.13,3.033968e-01
1168.54,3.002471e-01
1172.95,2.970975e-01
1177.35,2.939478e-01
