# Solar Spectrum (Visible)
# source: Kurucz Solar Atlas (approximation)
# description: Visible solar spectrum with Fraunhofer absorption lines
# object: Sun
# spectral_type: G2V
# temperature: 5778 K
# features: Fraunhofer lines (Ca, H, Na, Fe, O)
#
Wavelength(nm),Flux(normalized)
380.00,8.127523e-01
380.12,8.131658e-01
380.25,8.135788e-01
380.37,8.139913e-01
380.49,8.144033e-01
380.62,8.148148e-01
380.74,8.152258e-01
380.86,8.156364e-01
380.99,8.160465e-01
381.11,8.164561e-01
381.23,8.168652e-01
381.36,8.172739e-01
381.48,8.176820e-01
381.60,8.180897e-01
381.73,8.184969e-01
381.85,8.189036e-01
381.97,8.193098e-01
382.10,8.197155e-01
382.22,8.201208e-01
382.34,8.205256e-01
382.47,8.209299e-01
382.59,8.213337e-01
382.71,8.217370e-01
382.84,8.221398e-01
382.96,8.225422e-01
383.08,8.229440e-01
383.21,8.233454e-01
383.33,8.237463e-01
383.45,8.241468e-01
383.58,8.245467e-01
383.70,8.249461e-01
383.82,8.253451e-01
383.95,8.257436e-01
384.07,8.261416e-01
384.19,8.265391e-01
384.32,8.269361e-01
384.44,8.273327e-01
384.56,8.277287e-01
384.69,8.281243e-01
384.81,8.285194e-01
384.93,8.289140e-01
385.06,8.293081e-01
385.18,8.297017e-01
385.31,8.300949e-01
385.43,8.304875e-01
385.55,8.308797e-01
385.68,8.312714e-01
385.80,8.316626e-01
385.92,8.320533e-01
386.05,8.324435e-01
386.17,8.328333e-01
386.29,8.332225e-01
386.42,8.336113e-01
386.54,8.339996e-01
386.66,8.343874e-01
386.79,8.347747e-01
386.91,8.351615e-01
387.03,8.355479e-01
387.16,8.359337e-01
387.28,8.363191e-01
387.40,8.367039e-01
387.53,8.370883e-01
387.65,8.374722e-01
387.77,8.378557e-01
387.90,8.382386e-01
388.02,8.386210e-01
388.14,8.390030e-01
388.27,8.393845e-01
388.39,8.397654e-01
388.51,8.401459e-01
388.64,8.405259e-01
388.76,8.409055e-01
388.88,8.412845e-01
389.01,8.416630e-01
389.13,8.420411e-01
389.25,8.424187e-01
389.38,8.427958e-01
389.50,8.431724e-01
389.62,8.435485e-01
389.75,8.439241e-01
389.87,8.442992e-01
389.99,8.446739e-01
390.12,8.450480e-01
390.24,8.454217e-01
390.36,8.457949e-01
390.49,8.461676e-01
390.61,8.465398e-01
390.73,8.469115e-01
390.86,8.472827e-01
390.98,8.476535e-01
391.10,8.480237e-01
391.23,8.483935e-01
391.35,8.487628e-01
391.47,8.491315e-01
391.60,8.494998e-01
391.72,8.498677e-01
391.84,8.502350e-01
391.97,8.506018e-01
392.09,8.509682e-01
392.21,8.513340e-01
392.34,8.516994e-01
392.46,8.520643e-01
392.58,8.524287e-01
392.71,8.527926e-01
392.83,8.531560e-01
392.95,8.535189e-01
393.08,8.538315e-01
393.20,8.394761e-01
393.32,6.462779e-01
393.45,7.149778e-01
393.57,8.508457e-01
393.69,8.556794e-01
393.82,8.560458e-01
393.94,8.564048e-01
394.06,8.567633e-01
394.19,8.571214e-01
394.31,8.574789e-01
394.43,8.578360e-01
394.56,8.581926e-01
394.68,8.585487e-01
394.80,8.589043e-01
394.93,8.592594e-01
395.05,8.596140e-01
395.18,8.599682e-01
395.30,8.603218e-01
395.42,8.606750e-01
395.55,8.610277e-01
395.67,8.613799e-01
395.79,8.617316e-01
395.92,8.620828e-01
396.04,8.624335e-01
396.16,8.627837e-01
396.29,8.631335e-01
396.41,8.634827e-01
396.53,8.638226e-01
396.66,8.592540e-01
396.78,7.341099e-01
396.90,7.004007e-01
397.03,8.553417e-01
397.15,8.655397e-01
397.27,8.659138e-01
397.40,8.662592e-01
397.52,8.666041e-01
397.64,8.669484e-01
397.77,8.672923e-01
397.89,8.676357e-01
398.01,8.679786e-01
398.14,8.683211e-01
398.26,8.686630e-01
398.38,8.690045e-01
398.51,8.693454e-01
398.63,8.696859e-01
398.75,8.700259e-01
398.88,8.703654e-01
399.00,8.707044e-01
399.12,8.710429e-01
399.25,8.713809e-01
399.37,8.717185e-01
399.49,8.720555e-01
399.62,8.723921e-01
399.74,8.727282e-01
399.86,8.730638e-01
399.99,8.733989e-01
400.11,8.737335e-01
400.23,8.740677e-01
400.36,8.744013e-01
400.48,8.747345e-01
400.60,8.750672e-01
400.73,8.753993e-01
400.85,8.757310e-01
400.97,8.760623e-01
401.10,8.763930e-01
401.22,8.767232e-01
401.34,8.770530e-01
401.47,8.773822e-01
401.59,8.777110e-01
