# Uranus Spectrum
# source: Modeled from published albedo data
# description: Uranus - Strong CH4 absorption, blue-green color
# object: Uranus
# observation_type: Reflected solar spectrum
#
Wavelength(nm),Flux(W/m²/nm)
300.00,7.405200e-01
304.41,7.791042e-01
308.82,8.176884e-01
313.23,8.477819e-01
317.64,8.747639e-01
322.04,8.969921e-01
326.45,9.137209e-01
330.86,9.292895e-01
335.27,9.400823e-01
339.68,9.508751e-01
344.09,9.559133e-01
348.50,9.605003e-01
352.91,9.657985e-01
357.31,9.714648e-01
361.72,9.772364e-01
366.13,9.831725e-01
370.54,9.891085e-01
374.95,9.950445e-01
379.36,1.000981e+00
383.77,1.008992e+00
388.18,1.017356e+00
392.59,1.041700e+00
396.99,1.077316e+00
401.40,1.106579e+00
405.81,1.122229e+00
410.22,1.137514e+00
414.63,1.145879e+00
419.04,1.154243e+00
423.45,1.160076e+00
427.86,1.165203e+00
432.26,1.169220e+00
436.67,1.172188e+00
441.08,1.174958e+00
445.49,1.177116e+00
449.90,1.179275e+00
454.31,1.180642e+00
458.72,1.181992e+00
463.13,1.182575e+00
467.54,1.182845e+00
471.94,1.182520e+00
476.35,1.181441e+00
480.76,1.180222e+00
485.17,1.178333e+00
489.58,1.176444e+00
493.99,1.174311e+00
498.40,1.172153e+00
502.81,9.748522e-01
507.21,9.728286e-01
511.62,9.709705e-01
516.03,9.693966e-01
520.44,9.678676e-01
524.85,9.667433e-01
529.26,9.656191e-01
533.67,9.648689e-01
538.08,9.641943e-01
542.48,9.636465e-01
546.89,9.631968e-01
551.30,9.628136e-01
555.71,9.625887e-01
560.12,9.623700e-01
564.53,9.623700e-01
568.94,9.623700e-01
573.35,9.623700e-01
577.76,9.623700e-01
582.16,9.624804e-01
586.57,9.627052e-01
590.98,9.629301e-01
595.39,9.631549e-01
599.80,9.633798e-01
604.21,9.631754e-01
608.62,9.629505e-01
613.03,9.621084e-01
617.43,9.609841e-01
621.84,9.596718e-01
626.25,9.580979e-01
630.66,9.563890e-01
635.07,9.539157e-01
639.48,9.514423e-01
643.89,9.483741e-01
648.30,9.452262e-01
652.71,9.419404e-01
657.11,9.385676e-01
661.52,9.349618e-01
665.93,9.309145e-01
670.34,9.268499e-01
674.75,9.225777e-01
679.16,9.183056e-01
683.57,9.136696e-01
687.98,9.089478e-01
692.38,9.041043e-01
696.79,8.991576e-01
701.20,5.364897e-01
705.61,5.333868e-01
710.02,5.302833e-01
714.43,5.270454e-01
718.84,5.238076e-01
723.25,5.204704e-01
727.66,5.170977e-01
732.06,5.137249e-01
736.47,5.103522e-01
740.88,5.069255e-01
745.29,5.032829e-01
749.70,4.996404e-01
754.11,4.959978e-01
758.52,4.923552e-01
762.93,4.887127e-01
767.33,4.850701e-01
771.74,4.813741e-01
776.15,4.775965e-01
780.56,4.738186e-01
784.97,4.700400e-01
789.38,4.662594e-01
793.79,4.623583e-01
798.20,4.584271e-01
802.61,4.544711e-01
807.01,4.504625e-01
811.42,4.463467e-01
815.83,4.420241e-01
820.24,4.373256e-01
824.65,4.320298e-01
829.06,4.256433e-01
833.47,4.175555e-01
837.88,4.069664e-01
842.28,3.929238e-01
846.69,3.744304e-01
851.10,3.506299e-01
855.51,3.210620e-01
859.92,2.859452e-01
864.33,2.464527e-01
868.74,2.046795e-01
873.15,1.636782e-01
877.56,1.270583e-01
881.96,9.843762e-02
886.37,8.077733e-02
890.78,7.580865e-02
895.19,8.369206e-02
899.60,1.029715e-01
904.01,1.308969e-01
908.42,1.639214e-01
912.83,1.983862e-01
917.23,2.310955e-01
921.64,2.597302e-01
926.05,2.829859e-01
930.46,3.004558e-01
934.87,3.124909e-01
939.28,3.198923e-01
943.69,3.237565e-01
948.10,3.249704e-01
952.51,3.243454e-01
956.91,3.225276e-01
961.32,3.199991e-01
965.73,3.170936e-01
970.14,3.139547e-01
974.55,3.106936e-01
978.96,3.073719e-01
983.37,3.041243e-01
987.78,3.008958e-01
992.18,2.976616e-01
996.59,2.944252e-01
1001.00,2.912676e-01
1005.41,2.883807e-01
1009.82,2.854937e-01
1014.23,2.826066e-01
1018.64,2.797196e-01
1023.05,2.768325e-01
1027.45,2.739454e-01
1031.86,2.710584e-01
1036.27,2.681713e-01
1040.68,2.652842e-01
1045.09,2.623971e-01
1049.50,2.595101e-01
1053.91,2.569100e-01
1058.32,2.543467e-01
1062.73,2.517834e-01
1067.13,2.492201e-01
1071.54,2.466568e-01
1075.95,2.440936e-01
1080.36,2.415303e-01
1084.77,2.389670e-01
1089.18,2.364037e-01
1093.59,2.338404e-01
1098.00,2.312771e-01
1102.40,2.288610e-01
1106.81,2.265676e-01
1111.22,2.242741e-01
1115.63,2.219806e-01
1120.04,2.196872e-01
1124.45,2.173937e-01
1128.86,2.151002e-01
1133.27,2.128067e-01
1137.68,2.105133e-01
1142.08,2.082198e-01
1146.49,2.059263e-01
1150.90,2.036826e-01
1155.31,2.016319e-01
1159.72,1.995813e-01
1164.13,1.975307e-01
1168.54,1.954800e-01
1172.95,1.934294e-01
1177.35,1.913788e-01
1181.76,1.893281e-01
1186.17,1.872775e-01
1190.58,1.852269e-01
1194.99,1.831763e-01
1199.40,1.811256e-01
1203.81,1.792847e-01
1208.22,1.774769e-01
1212.63,1.756691e-01
1217.03,1.738614e-01
1221.44,1.720536e-01
1225.85,1.702458e-01
1230.26,1.684380e-01
1234.67,1.666302e-01
1239.08,1.648224e-01
1243.49,1.630146e-01
1247.90,1.612068e-01
1252.30,1.594977e-01
1256.71,1.578788e-01
1261.12,1.562599e-01
1265.53,1.546410e-01
1269.94,1.530221e-01
1274.35,1.514032e-01
1278.76,1.497842e-01
1283.17,1.481653e-01
1287.58,1.465464e-01
1291.98,1.449275e-01
1296.39,1.433086e-01
1300.80,1.417240e-01
1305.21,1.402939e-01
1309.62,1.388639e-01
1314.03,1.374338e-01
1318.44,1.360038e-01
1322.85,1.345737e-01
1327.25,1.331436e-01
1331.66,1.317135e-01
1336.07,1.302834e-01
1340.48,1.288533e-01
1344.89,1.274232e-01
1349.30,1.259930e-01
1353.71,1.246989e-01
