# Venus Spectrum
# source: Compiled telescope observations
# description: Venus reflection spectrum from multiple missions
# references: Karkoschka 1994; Pollack et al.; mission data
# resolution: ~5.0 nm
# object: Venus
# observation_type: Disk-integrated reflected sunlight
# instruments: Ground & space-based telescopes
# missions: Venus Express, Akatsuki, Magellan
# data_points: 440
#
Wavelength(nm),Flux(W/m²/nm)
300.000,4.649420e-03
305.011,4.882200e-03
310.023,5.164765e-03
315.034,5.429801e-03
320.046,5.602733e-03
325.057,5.925947e-03
330.068,6.208688e-03
335.080,6.400833e-03
340.091,6.509968e-03
345.103,6.843684e-03
350.114,6.872766e-03
355.125,7.304392e-03
360.137,7.373923e-03
365.148,7.588679e-03
370.159,7.865423e-03
375.171,7.923473e-03
380.182,8.155916e-03
385.194,8.379988e-03
390.205,8.525714e-03
395.216,8.800524e-03
400.228,2.938107e-02
405.239,3.008331e-02
410.251,3.036835e-02
415.262,3.044440e-02
420.273,3.063706e-02
425.285,3.124664e-02
430.296,3.166553e-02
435.308,3.145325e-02
440.319,3.204241e-02
445.330,3.250334e-02
450.342,3.286901e-02
455.353,3.235748e-02
460.364,3.279464e-02
465.376,3.301911e-02
470.387,3.312677e-02
475.399,3.299143e-02
480.410,3.366955e-02
485.421,3.349793e-02
490.433,3.347234e-02
495.444,3.367566e-02
500.456,3.350913e-02
505.467,3.375389e-02
510.478,3.354961e-02
515.490,3.353404e-02
520.501,3.295155e-02
525.513,3.291832e-02
530.524,3.352675e-02
535.535,3.345900e-02
540.547,3.379129e-02
545.558,3.291893e-02
550.569,3.322198e-02
555.581,3.241336e-02
560.592,3.236609e-02
565.604,3.247351e-02
570.615,3.281609e-02
575.626,3.206288e-02
580.638,3.183528e-02
585.649,3.103081e-02
590.661,3.144338e-02
595.672,3.165838e-02
600.683,3.149478e-02
605.695,3.098690e-02
610.706,3.097597e-02
615.718,3.071526e-02
620.729,3.002719e-02
625.740,3.057099e-02
630.752,3.034261e-02
635.763,2.952423e-02
640.774,2.956351e-02
645.786,2.918985e-02
650.797,2.909673e-02
655.809,2.875291e-02
660.820,2.871625e-02
665.831,2.760938e-02
670.843,2.720268e-02
675.854,2.771413e-02
680.866,2.746965e-02
685.877,2.708736e-02
690.888,2.685086e-02
695.900,2.655457e-02
700.911,2.678351e-02
705.923,2.602522e-02
710.934,2.600774e-02
715.945,2.622630e-02
720.957,2.519121e-02
725.968,2.513882e-02
730.979,2.496951e-02
735.991,2.453464e-02
741.002,2.445502e-02
746.014,2.369153e-02
751.025,2.338385e-02
756.036,2.346980e-02
761.048,2.359363e-02
766.059,2.319054e-02
771.071,2.308374e-02
776.082,2.289784e-02
781.093,2.232241e-02
786.105,2.213346e-02
791.116,2.181055e-02
796.128,2.160173e-02
801.139,2.160216e-02
806.150,2.158059e-02
811.162,2.143260e-02
816.173,2.071441e-02
821.185,2.045608e-02
826.196,2.061003e-02
831.207,2.024801e-02
836.219,2.009036e-02
841.230,1.973078e-02
846.241,1.937765e-02
851.253,1.946401e-02
856.264,1.905955e-02
861.276,1.884173e-02
866.287,1.862354e-02
871.298,1.870076e-02
876.310,1.891668e-02
881.321,1.836416e-02
886.333,1.821847e-02
891.344,1.742906e-02
896.355,1.716554e-02
901.367,1.710766e-02
906.378,1.687852e-02
911.390,1.689394e-02
916.401,1.637175e-02
921.412,1.631478e-02
926.424,1.630789e-02
931.435,1.604929e-02
936.446,1.567005e-02
941.458,1.579547e-02
946.469,1.537090e-02
951.481,1.534216e-02
956.492,1.543649e-02
961.503,1.492641e-02
966.515,1.474752e-02
971.526,1.447224e-02
976.538,1.440354e-02
981.549,1.439573e-02
986.560,1.416810e-02
991.572,1.399963e-02
996.583,1.385011e-02
1001.595,1.389337e-02
1006.606,1.312576e-02
1011.617,1.327092e-02
1016.629,1.337932e-02
1021.640,1.301761e-02
1026.651,1.291346e-02
1031.663,1.256712e-02
1036.674,1.255534e-02
1041.686,1.240331e-02
1046.697,1.259692e-02
1051.708,1.225468e-02
1056.720,1.191522e-02
1061.731,1.182368e-02
1066.743,1.171301e-02
1071.754,1.150045e-02
1076.765,1.136965e-02
1081.777,1.147617e-02
1086.788,1.125653e-02
1091.800,1.100954e-02
1096.811,1.124718e-02
1101.822,1.099257e-02
1106.834,1.072083e-02
1111.845,1.066818e-02
1116.856,1.046433e-02
1121.868,1.055479e-02
1126.879,1.040375e-02
1131.891,1.024823e-02
1136.902,1.003684e-02
1141.913,9.974141e-03
1146.925,9.772195e-03
1151.936,9.915815e-03
1156.948,9.632254e-03
1161.959,9.517664e-03
1166.970,9.598312e-03
1171.982,9.263779e-03
1176.993,9.324438e-03
1182.005,9.191129e-03
1187.016,8.907764e-03
1192.027,8.839785e-03
1197.039,8.953362e-03
1202.050,8.546501e-03
1207.062,8.528466e-03
1212.073,8.460892e-03
1217.084,8.483799e-03
1222.096,8.322889e-03
1227.107,8.226529e-03
1232.118,8.259231e-03
1237.130,8.184747e-03
1242.141,7.776302e-03
1247.153,7.933137e-03
1252.164,7.782258e-03
1257.175,7.748732e-03
1262.187,7.729308e-03
1267.198,7.450138e-03
1272.210,7.445207e-03
1277.221,7.369730e-03
1282.232,7.425765e-03
1287.244,7.314287e-03
1292.255,7.027617e-03
1297.267,7.163308e-03
1302.278,7.051146e-03
1307.289,6.869337e-03
1312.301,6.976701e-03
1317.312,6.811773e-03
1322.323,6.699169e-03
1327.335,6.679861e-03
1332.346,6.646902e-03
1337.358,6.527525e-03
1342.369,6.444099e-03
1347.380,6.314376e-03
1352.392,6.383323e-03
1357.403,6.284775e-03
1362.415,6.256181e-03
1367.426,6.149315e-03
1372.437,6.143028e-03
1377.449,6.006157e-03
1382.460,5.885243e-03
1387.472,5.793908e-03
1392.483,5.767628e-03
1397.494,5.785994e-03
1402.506,5.756645e-03
1407.517,5.635360e-03
1412.528,5.616242e-03
1417.540,5.599492e-03
1422.551,5.544310e-03
1427.563,5.417159e-03
1432.574,5.299704e-03
1437.585,5.280191e-03
1442.597,5.172609e-03
1447.608,5.188116e-03
1452.620,4.990913e-03
1457.631,4.918846e-03
1462.642,4.912642e-03
1467.654,4.942044e-03
1472.665,4.849936e-03
1477.677,4.684445e-03
1482.688,4.615329e-03
1487.699,4.602998e-03
1492.711,4.426776e-03
1497.722,4.334374e-03
1502.733,4.238397e-03
1507.745,4.155940e-03
1512.756,3.977429e-03
1517.768,3.894975e-03
1522.779,3.773892e-03
1527.790,3.643237e-03
1532.802,3.534353e-03
1537.813,3.414848e-03
1542.825,3.272765e-03
1547.836,3.102386e-03
1552.847,3.034954e-03
1557.859,2.952475e-03
1562.870,2.838743e-03
1567.882,2.678956e-03
1572.893,2.620076e-03
1577.904,2.552344e-03
1582.916,2.494859e-03
1587.927,2.447510e-03
1592.938,2.365645e-03
1597.950,2.336905e-03
1602.961,2.326679e-03
1607.973,2.265916e-03
1612.984,2.330889e-03
1617.995,2.350139e-03
1623.007,2.361519e-03
1628.018,2.415901e-03
1633.030,2.439893e-03
1638.041,2.439177e-03
1643.052,2.469986e-03
1648.064,2.595367e-03
1653.075,2.615915e-03
1658.087,2.635801e-03
1663.098,2.687008e-03
1668.109,2.774320e-03
1673.121,2.821562e-03
1678.132,2.810256e-03
1683.144,2.875985e-03
1688.155,2.831264e-03
1693.166,2.941350e-03
1698.178,2.919473e-03
1703.189,2.957161e-03
1708.200,2.943311e-03
1713.212,2.990664e-03
1718.223,2.944117e-03
1723.235,2.950648e-03
1728.246,2.941345e-03
1733.257,2.916329e-03
1738.269,2.938090e-03
1743.280,2.870527e-03
1748.292,2.908168e-03
1753.303,2.923465e-03
1758.314,2.863914e-03
1763.326,2.834980e-03
1768.337,2.836938e-03
1773.349,2.864500e-03
1778.360,2.822757e-03
1783.371,2.736373e-03
1788.383,2.662526e-03
1793.394,2.655631e-03
1798.405,2.695102e-03
1803.417,2.722932e-03
1808.428,2.672675e-03
1813.440,2.607583e-03
1818.451,2.586104e-03
1823.462,2.599846e-03
1828.474,2.512157e-03
1833.485,2.499627e-03
1838.497,2.525554e-03
